Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability,E-mail Sent
Importer,WW 0303,MAPIKI,South Africa,+27 78 632 5069,http://64dc8add3c04c.site123.me/,mipikiconstruction@gmail.com,,,Needs checking,Available,Failed
Importer,WW 0303,RUKIYA SAFARI SYLVESTREGOMARDC,South Africa,+27 81 068 5591,http://www.rukiyacamp.com/,res@rukiyacamp.com,,,Needs checking,Available,Failed
Importer,WW 0303,SHUN TAT TRANSPORTATION CO,Malaysia,+60 19-393 8989,https://brightstar.com.my/,enquiry@brightstar.com.my,,,Needs checking,Available,Failed
Importer,WW 0303,ALIF WAWASAN M SDN BHD,Malaysia,+60 3-4265 4070,https://www.alifpay.com.my/,merchant@alifpay.com.my,admin@alifpay.com.my,,Needs checking,Not Available,Failed
Importer,WW 0303,ALIF WAWASAN M SDN,Malaysia,+60 3-5888 9750,http://www.cantuman.com.my/,contact@cantuman.com.my,,,Needs checking,Not Available,Failed
Importer,WW 0303,ALTERNATIVES FOOD CORP,Philippines,+63 2 8631 7228,https://www.alternatives.ph/,afc_sales@alternatives.ph,,,Needs checking,Not Available,Failed
Importer,WW 0303,VINAQUALITY CORP,Philippines,+63 2 8872 0835,http://www.vinaquality.com/,webmaster@vinaquality.com,,,Needs checking,Not Available,Failed
Importer,WW 0303,ROYAL FOODS CO LTD,Thailand,+66 2 251 9454,http://threeladycooksbrand.co.th/,info@threeladycooks.com,threeladycooks@hotmail.com,,Verified lead,Not Available,Failed
Importer,WW 0303,OKAMURA TRADING THAILAND CO LTD,Thailand,+66 2 661 5474,https://www.okamura.co.th/,webcontact@th.okamura.com,,,Needs checking,Not Available,Failed
Importer,WW 0303,AMERICAN COMMERCIAL TRANSPORT INC,Thailand,+66 2 663 4555,http://www.amcomtran.com/,info@amcomtran.co.th,info@amcomtran.com,,Needs checking,Not Available,Failed
Importer,WW 0303,S K FOODS THAILAND PUBLIC COMPANY LIMITED,Thailand,+66 34 866 534,http://www.sk-foods.com/,info@sk-foods.com,u003einfo@sk-foods.com,,Verified lead,Not Available,Failed
Importer,WW 0303,DIAMOND FOOD PRODUCT CO LTD,Thailand,+66 34 885 026,http://www.diamondfoodproduct.co.th/,dmfp@diamondfoodproduct.co.th,dmfp@dmf.co.th,,Verified lead,Not Available,Failed
Importer,WW 0303,UNION MARINE FROZEN FOOD CO LTD,Thailand,+66 94 408 1700,http://www.marinefrozenfoods.com/,reserved@marinefrozenfoods.com,,,Needs checking,Available,Failed
Importer,WW 0303,YAZAWA CO LTD,Japan,+81 3-5615-0241,https://www.yazawa.co.jp/,info@yazawa.co.jp,,,Needs checking,Not Available,Failed
Importer,WW 0303,CYUNITIYUKOU SHOUKAI CO LTD,Japan,+81 480-61-5880,http://usedforklifts-wholesale.jp/,saitoyiashima-fork@asia.com,yashimafork@yashima-fork.co.jp,,Needs checking,Not Available,Failed
Importer,WW 0303,TO ORDER OF VIETINBANK HOCHIMINH CITY BRANCH,Vietnam,+84 1900 558868,https://www.vietinbank.vn/,contact@vietinbank.vn,majestic@majesticsaigon.com,,Needs checking,Not Available,Failed
Importer,WW 0303,METALEN LIMITED,South Africa,+27 10 248 5000,https://metalen.co.za/,sales@metalen.co.za,tubes@metalen.co.za,,Needs checking,Not Available,Sent
Importer,WW 0303,PROCHAIN SERVICE CO LIMITED,South Africa,+27 10 823 4777,https://prochain.co.za/,info@prochain.co.za,,,Needs checking,Not Available,Sent
Importer,WW 0303,DN FREIGHT,South Africa,+27 11 452 2292,https://dnfreight.co.za/,info@dnfreight.co.za,,,Needs checking,Not Available,Sent
Importer,WW 0303,BIDFOOD PROPRIETARY LIMITED,South Africa,+27 11 601 9600,https://www.bidfood.co.za/,info@bidfood.co.za,customercare@bidfood.co.za,,Verified lead,Not Available,Sent
Importer,WW 0303,ECHALAR FISHING PTY LTD,South Africa,+27 21 425 2727,http://www.sadstia.co.za/about/,chairman@sadstia.co.za,johann@sadstia.co.za,,Needs checking,Not Available,Sent
Importer,WW 0303,ALPENFOOD LTD,South Africa,+27 21 506 3240,http://www.alpenfood.co.za/,hello@alpenfood.co.za,,,Verified lead,Not Available,Sent
Importer,WW 0303,SOUTHEY GHANA LTD,South Africa,+27 21 510 0299,http://southeyghana.com/,info@southeyoffshore.com,info@southeyghana.com,,Needs checking,Not Available,Sent
Importer,WW 0303,ATLANTIS SEAFOOD DISTRIBUTORS PTY,South Africa,+27 21 577 4777,http://www.atlantisseafoodproducts.co.za/,info@atlantisseafoods.co.za,,,Verified lead,Not Available,Sent
Importer,WW 0303,EXCELLENT MEAT CORPORATION,South Africa,+27 21 929 7300,http://www.excellentmeat.co.za/,info@excellentmeat.co.za,,,Verified lead,Not Available,Sent
Importer,WW 0303,PIONEER FISHING WEST COAST PTY,South Africa,+27 22 736 8000,http://www.pioneerfishing.co.za/,contact-us@pioneerfishing.co.za,information@whistleblowing.co.za,,Needs checking,Not Available,Sent
Importer,WW 0303,CONVENANTWEALTH CON W AFRICA COMPANY,South Africa,+27 31 202 3900,https://www.westafricangroup.co.za/,info@westafricangroup.co.za,,,Needs checking,Not Available,Sent
Importer,WW 0303,U SAVE SUPERMARKETS PTY LTD,South Africa,+27 31 563 2479,https://usavesa.co.za/,orders@usavesa.co.za,admin@usavesa.co.za,,Needs checking,Not Available,Sent
Importer,WW 0303,PARTS AND ACCESSORIES DISTRIBUTORS PROPRIETARY LIMITED,South Africa,+27 31 581 8400,http://www.accessoriesspares.co.za/,sales@accessoriesspares.co.za,,,Needs checking,Not Available,Sent
Importer,WW 0303,HUMEAT IMPORT AND EXPORT,South Africa,+27 41 368 7161,http://humeint.com/,sales@humeint.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,MAMEMU FOOD IMPORT EXPORT LIMITED,South Africa,+27 76 187 4126,http://mpmfoods.co.za/,nketech@gmail.com,info@mpmfoods.co.za,,Verified lead,Available,Sent
Importer,WW 0303,LE PETIT FILLAN PROPRIETARY LIMITED,South Africa,+27 78 010 6757,http://www.lepetitfillan.co.za/,info@lepetitfillan.co.za,,,Verified lead,Available,Sent
Importer,WW 0303,IRVIN JOHNSON LIMITED,South Africa,+27 80 021 0279,http://www.ij.co.za,talk2us@ij.co.za,,,Verified lead,Not Available,Sent
Importer,WW 0303,CAPE GOURMENT SEAFOOD CO LTD,South Africa,+27 82 654 8168,https://www.capeseafoodtrading.com/,info@capeseafoodtrading.com,,,Verified lead,Available,Sent
Importer,WW 0303,HOI YONG FRUITS MARKETING SDN BHD,Malaysia,+60 16-233 1537,http://hoiyongfruits.com/,info@hoiyongfruits.com,,,Needs checking,Available,Sent
Importer,WW 0303,SMILE MART JAPAN,Malaysia,+60 16-819 6332,http://www.smilemartfoodsupply.com.my/,smilemartjapanofficial@gmail.com,,,Verified lead,Available,Sent
Importer,WW 0303,RICH PRODUCTS MALAYSIA SDN BHD,Malaysia,+60 3-4065 0138,https://richs.com.my/,richproductsmalaysia@rich.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,MESTIKA TRADE SERVICES LOGISTICS SDN BHD,Malaysia,+60 3-4162 8088,http://mestikasecurity.com.my/,mestikaresources@gmail.com,,,Needs checking,Not Available,Sent
Importer,WW 0303,C FOOD PORTIONS SDN BHD,Malaysia,+60 3-4251 9481,http://www.cfoodportions.com/,info@cfoodportions.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,SOOI KEONG TRADING SDN BHD,Malaysia,+60 3-4293 0028,http://www.sooikeong.com.my/,sales@sooikeong.com.my,,,Verified lead,Not Available,Sent
Importer,WW 0303,TASCO BERHAD,Malaysia,+60 3-5101 8888,http://www.tasco.com.my/,shazlin.shuhaimi@tasco.com.my,jaisree.arumugam@tasco.com.my,,Verified lead,Not Available,Sent
Importer,WW 0303,KHAISHEN TRADING SDN BHD,Malaysia,+60 3-6120 6171,http://www.khaishen.com/,info@khaishen.com,,,Needs checking,Not Available,Sent
Importer,WW 0303,SRI TERNAK MARINE SDN BHD,Malaysia,+60 3-6138 0662,http://www.sriternak.com/,stfm-cs@sriternak.com,inquiry@sriternak.com,,Verified lead,Not Available,Sent
Importer,WW 0303,MAX FOOD ENTERPRISE M SDN BHD,Malaysia,+60 3-6274 9436,http://www.kamifood.com/,enquiry@kamifood.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,SK FROZEN FOOD IMPORT EXPORT SDN BHD,Malaysia,+60 3-6419 9988,http://www.skfrozen.com.my/,enquiry@skfrozen.com.my,,,Verified lead,Not Available,Sent
