Name Prefix,First Name,Middle Name,Last Name,Name Suffix,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Nickname,File As,E-mail 1 - Label,E-mail 1 - Value,Phone 1 - Label,Phone 1 - Value,Address 1 - Label,Address 1 - Country,Address 1 - Street,Address 1 - Extended Address,Address 1 - City,Address 1 - Region,Address 1 - Postal Code,Address 1 - PO Box,Organization Name,Organization Title,Organization Department,Birthday,Event 1 - Label,Event 1 - Value,Relation 1 - Label,Relation 1 - Value,Website 1 - Label,Website 1 - Value,Custom Field 1 - Label,Custom Field 1 - Value,Notes,Labels
,I - WW 44029090,,ZOOFARMAGRO SRL,,,,,,,,,,+373 22 355 240,,Moldova,,,Chișinău,"Strada Cameniţa 4a, Chișinău, Moldova",,,ZOOFARMAGRO SRL,,,,,,,,,https://zoofarmagro.md/,,,,
,I - WW 44029090,,ООО €КМЏ,,,,,,,,,,+7 499 769-21-30,,Russia,,,Bittsa,"Автогипермаркет «Тракт» МКАД 32 км, ул. Нагорная, с11, пос. Битца, Офис 2-16, Bittsa, Moskovskaya oblast', Russia, 142718",,,ООО €КМЏ,,,,,,,,,https://zkmgidro.ru/,,,,
,I - WW 44029090,,ZH TRADING,,,,,,,,,,+1 305-889-3599,,United States,,,Miami,"6700 NW 77th Ct #140, Miami, FL 33166, USA",,,ZH TRADING,,,,,,,,,https://zetatradinginc.com/,,,,
,I - WW 44029090,,ЗАО ПАРТНЕР,,,,,,,,,,+7 349 225-25-25,,Russia,,,Salekhard,"Ulitsa Mira, 13 а, Salekhard, Yamalo-Nenetskiy, Russia, 629008",,,ЗАО ПАРТНЕР,,,,,,,,,https://zao-partner.ru/,,,,
,I - WW 44029090,,ZAIB TRADING COMPANY,,,,,,,,,,+92 348 2327675,,Pakistan,,,Mandi Shah Jewana,"Nawan Thatha, Kot Qasim - Mandi Shah Jeewna Rd, Mandi Shah Jewana, Jhang, Punjab 35550, Pakistan",,,ZAIB TRADING COMPANY,,,,,,,,,https://youtube.com/c/ShahzebKhanOlipinAcademy,,,,
,I - WW 44029090,,KARAKITSOS SINGLE MEMBER PC,,,,,,,,,,+1 813-445-5780,,United States,,,Tampa,"5331 Primrose Lake Cir suite 207, Tampa, FL 33647, USA",,,KARAKITSOS SINGLE MEMBER PC,,,,,,,,,https://yourpropertyadvocate.com/?npcmp=dir:local:5343988:33647,,,,
,I - WW 44029090,,CÔNG TY CỔ PHẦN XE NÂNG THIÊN SƠN,,,,,,,,,,+84 963 349 619,,Vietnam,,,,"tầng 7, toà nhà Hancorp Plaza, 72 Trần Đăng Ninh, Dịch Vọng, Cầu Giấy, Hà Nội, Vietnam",,,CÔNG TY CỔ PHẦN XE NÂNG THIÊN SƠN,,,,,,,,,https://xenangthienson.com/,,,,
,I - WW 44029090,,METAL EXCHANGE CORPORATION,,,,,,,,,,+1 713-479-7010,,United States,,,Houston,"6519 Liberty Rd, Houston, TX 77028, USA",,,METAL EXCHANGE CORPORATION,,,,,,,,,https://xchangemetals.com/,,,,
,I - WW 44029090,,GERDAU ACOMINAS SA,,,,,,,,,,+55 800 031 2118,,Brazil,,,,"Rod. MG-443, Km 7 s/n - Fazenda do Cadete, Ouro Branco - MG, 36490-972, Brazil",,,GERDAU ACOMINAS SA,,,,,,,,,https://www2.gerdau.com.br/,,,,
,I - WW 44029090,,ZZAJIL LLC,,,,,,,,,,+1 833-399-2545,,United States,,,Egypt,"4105 S Church St, Whitehall Township, PA 18052, USA",,,ZZAJIL LLC,,,,,,,,,https://www.zzajil.com/contact,,,,
,I - WW 44029090,,DIAMOND FUEL SUPPLIES,,,,,,,,,,+1 407-603-5822,,United States,,,Apopka,"2901 W Orange Blossom Trail, Apopka, FL 32712, USA",,,DIAMOND FUEL SUPPLIES,,,,,,,,,https://www.zmarksthespot.com/,,,,
,I - WW 44029090,,CARL ZEISS VISION BRASIL INDUSTRIA OPTICA LTDA,,,,,,,,,,+55 24 2233-7012,,Brazil,,,,"R. Luiz Winter, 222 - Duarte Silveira, Petrópolis - RJ, 25665-431, Brazil",,,CARL ZEISS VISION BRASIL INDUSTRIA OPTICA LTDA,,,,,,,,,https://www.zeiss.com.br/corporate/home.html,,,,
,I - WW 44029090,,YUSEN LOGISTICS DO BRASIL LTDA,,,,,,,,,,+55 11 3908-9700,,Brazil,,,,"Rod. Anhanguera, s/n - Km 26 - Jardim Jaragua, São Paulo - SP, 05275-000, Brazil",,,YUSEN LOGISTICS DO BRASIL LTDA,,,,,,,,,https://www.yusen-logistics.com/,,,,
,I - WW 44029090,,CÔNG TY TNHH DROSSAPHARM Á CHÂU VIỆT NAM,,,,,,,,,,+84 221 3789 879,,Vietnam,,,,"Đường A5, Khu A, Khu Công Nghiệp Phố Nối A, Đình Dù, Văn Lâm, Hưng Yên 160000, Vietnam",,,CÔNG TY TNHH DROSSAPHARM Á CHÂU VIỆT NAM,,,,,,,,,https://www.youtube.com/watch?v=2SF8scY_MEM,,,,
,I - WW 44029090,,WOERMANN BROCK CO SWAKPOPMUND,,,,,,,,,,+264 64 415 517,,Namibia,,,Swakopmund,"Tobias Hainyeko, Swakopmund, Namibia",,,WOERMANN BROCK CO SWAKPOPMUND,,,,,,,,,https://www.yourwoermann.com/,,,,
,I - WW 44029090,,MASTER DEALS EGYPT,,,,,,,,,,+20 2 26220894,,Egypt,,,,"القاهرة, النزهة الجديدة، 49JJ+VPX, Huckstep, El Nozha, Cairo Governorate 4473303, Egypt",,,MASTER DEALS EGYPT,,,,,,,,,https://www.yellowpages.com.eg/ar/profile/%D9%85%D8%A7%D8%B3%D8%AA%D8%B1-%D8%AF%D9%8A%D9%84%D8%B2-%D8%A7%D9%8A%D8%AC%D9%8A%D8%A8%D8%AA/413014,,,,
,I - WW 44029090,,YASHASVI RECYCLERS PRIVATE LIMITED,,,,,,,,,,+91 99984 72003,,India,,,Ahmedabad,"1322, Shivalik Satyamev S P Ring Road, Cross Roads, Bopal, Ahmedabad, Gujarat 380059, India",,,YASHASVI RECYCLERS PRIVATE LIMITED,,,,,,,,,https://www.yashasvirecyclers.com/,,,,
,I - WW 44029090,,ABOU ELMAJD YAHYA TRADING LLC,,,,,,,,,,+1 773-478-5981,,United States,,,Chicago,"3622 W Lawrence Ave, Chicago, IL 60625, USA",,,ABOU ELMAJD YAHYA TRADING LLC,,,,,,,,,https://www.yahyatradingcorp.net/,,,,
,I - WW 44029090,,LIMITED LIABILITY COMPANY,,,,,,,,,,+1 608-827-5300,,United States,,,Madison,"525 Junction Rd #5000, Madison, WI 53717, USA",,,LIMITED LIABILITY COMPANY,,,,,,,,,https://www.wolterskluwer.com/en/solutions/bizfilings,,,,
,I - WW 44029090,,WORLDS END MOTORCYCLES LIMITED,,,,,,,,,,+44 1273 595746,,United Kingdom,,,Southwick,"9 Grange Road Industrial Estate, Albion Street, Southwick, Brighton BN42 4EN, UK",,,WORLDS END MOTORCYCLES LIMITED,,,,,,,,,https://www.wmd-online.com/,,,,
,I - WW 44029090,,WM ENTERPRISE,,,,,,,,,,+1 713-512-6200,,United States,,,Houston,"Bank of America Tower, 800 Capitol St Suite 3000, Houston, TX 77002, USA",,,WM ENTERPRISE,,,,,,,,,https://www.wm.com/?utm_source=gmb&utm_medium=organic&utm_campaign=S05336,,,,
,I - WW 44029090,,SOUTHEAST WIPERS INCORPORATION,,,,,,,,,,+1 323-588-5959,,United States,,,Vernon,"4355 Fruitland Ave, Vernon, CA 90058, USA",,,SOUTHEAST WIPERS INCORPORATION,,,,,,,,,https://www.wipercentral.com/,,,,
,I - WW 44029090,,WINSOL PHYTOTHERMAL SYSTEM,,,,,,,,,,+91 70487 73777,,India,,,Anand,"2006/07, A29 Rd, VU Nagar, New Vallabh Vidyanagar, GIDC, Anand, Gujarat 388121, India",,,WINSOL PHYTOTHERMAL SYSTEM,,,,,,,,,https://www.winsolenergy.co.in/,,,,
,I - WW 44029090,,WHITE HORSE BEDDING LIMITED,,,,,,,,,,+44 1285 402000,,United Kingdom,,,,"1st Floor, Globe House, Love Ln, Cirencester GL7 1YG, UK",,,WHITE HORSE BEDDING LIMITED,,,,,,,,,https://www.whitehorseenergy.co.uk/,,,,
,I - WW 44029090,,UNITED FOR SUPPLYING,,,,,,,,,,+1 650-588-2203,,United States,,,South San Francisco,"170 Associated Rd STE A, South San Francisco, CA 94080, USA",,,UNITED FOR SUPPLYING,,,,,,,,,https://www.whipitbrand.com/,,,,
,I - WW 44029090,,WERNER GLOBAL LOGISTICS,,,,,,,,,,+1 815-733-4100,,United States,,,Joliet,"1738 Terminal Ct, Joliet, IL 60436, USA",,,WERNER GLOBAL LOGISTICS,,,,,,,,,https://www.werner.com/about/,,,,
,I - WW 44029090,,WELSPUN POWER AND STEEL LTD,,,,,,,,,,+91 2836 663 003,,India,,,Anjar,"Survey No.650, P.O - Versamedi, Tal, Anjar, Varshamedi, Gujarat 370110, India",,,WELSPUN POWER AND STEEL LTD,,,,,,,,,https://www.welspun.com/investors-corner.php,,,,
,I - WW 44029090,,TO THE ORDER OF WELLS FARGO BANK N,,,,,,,,,,+1 281-444-5440,,United States,,,Houston,"17317 North Fwy, Houston, TX 77090, USA",,,TO THE ORDER OF WELLS FARGO BANK N,,,,,,,,,https://www.wellsfargo.com/locator/bank/17317__NORTH__FWY_HOUSTON_TX_77090/?utm_campaign=Local_Listings&utm_source=Google&group=Community_Bank&loc=WF06760,,,,
,I - WW 44029090,,WEIMA AMERICA INC,,,,,,,,,,+1 803-802-7170,,United States,,,Fort Mill,"3678 Centre Cir, Fort Mill, SC 29715, USA",,,WEIMA AMERICA INC,,,,,,,,,https://www.weima.com/us,,,,
,I - WW 44029090,,OOO WEBER STEPHEN VOSTOK OOO RB IOGISTICS,,,,,,,,,,+1 855-469-3237,,United States,,,Santa Fe Springs,"13530 Rosecrans Ave, Santa Fe Springs, CA 90670, USA",,,OOO WEBER STEPHEN VOSTOK OOO RB IOGISTICS,,,,,,,,,https://www.weberlogistics.com/locations/santa-fe-springs-warehouse,,,,
,I - WW 44029090,,WEBER STEPHEN PRODUCTS JAPAN GK,,,,,,,,,,+81 3-6805-1196,,Japan,,,Minato City,"Japan, 〒107-0062 Tokyo, Minato City, Minamiaoyama, 6-chōme−10−１１ フォーリーフ南青山 ２F",,,WEBER STEPHEN PRODUCTS JAPAN GK,,,,,,,,,https://www.weber.com/JP/ja/home/,,,,
