Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Exporter,ID Palm Kernel Shell,ZAPIN AGRO INTERNASIONAL,Indonesia,,https://www.zain.co.id/,,,,Lead,
Exporter,ID Palm Kernel Shell,PT MULTIMAS NABATI ASAHAN,Indonesia,+62 254 7850002,https://www.wilmar-international.com/,enquiry@vn.wilmar-intl.com,info-meals@cn.wilmar-intl.com,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT SURYA INTI PRIMAKARYA,Indonesia,+62 761 40062,https://www.sip-exim.co.id/,van.ricardo@sip-exim.co.id,markom@sip-exim.co.id,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT IWATANI INDONESIA,Indonesia,+62 21 2523450,https://www.ptiwatani.co.id/,,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT TRADA INTI SUKSES,Indonesia,+62 21 89900964,https://www.pt-tis.id/,sales@pt-tis.id,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,CV KEUSUMA JAYA,Indonesia,+62 31 5040047,https://www.kusumajaya.com/,ofc@kusumajaya.com,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT INNI ZHENGHE,Indonesia,,https://www.innizhcarbon.com/,marketing@innizhcarbon.com,,,Lead,
Exporter,ID Palm Kernel Shell,PT BIOMASSA ENERGY SANSKRIT TRADING INDONESIA,Indonesia,+62 817-184-759,https://www.biomassaenergynusantara.com/,fendi@biomassaenergynusantara.com,fendi@biomassaenergy.com,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT ENERGI UNGGUL PERSADA,Indonesia,,https://www.aprobi.or.id/member/pt-energi-unggul-persada/,office@aprobi.or.id,,,Lead,
Exporter,ID Palm Kernel Shell,PERSEROAN TERBATAS ANDIRA AGRO TBK,Indonesia,+62 711 7826353,https://www.andiraagro.com/,,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT SINERGI KHARISMA YUDA,Indonesia,,https://sinergikharismayuda.com/,info@sinergikharismayuda.com,,,Lead,
Exporter,ID Palm Kernel Shell,CV ENERGI BIO PELANGI,Indonesia,+62 813-1030-1125,https://pelangibatubara.blogspot.com/,,,,Lead,Available
Exporter,ID Palm Kernel Shell,NEW ENERGY DEVELOPMENT DUMAI,Indonesia,+62 765 4302949,https://n-e-d.net/,,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT LUX AGRO ENERGI,Indonesia,,https://luxagro.net/contact.html,trading@luxagro.net,,,Lead,
Exporter,ID Palm Kernel Shell,PT ADHI BANGUN GEMILANG,Indonesia,+62 561 8100406,https://linktr.ee/Globaladhigemilang,,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,INTI PERSADA,Indonesia,+62 857-2387-1461,https://intipersadaban.com/,intipersada127.bdg@gmail.com,,,Lead,Available
Exporter,ID Palm Kernel Shell,PT GODWIN AUSTEN INDONESIA,Indonesia,+62 21 30012496,https://godwin-austen.com/,,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT CARSURIN,Indonesia,+62 21 50226868,https://carsurin.com/,corpsec@carsurin.com,info@carsurin.com,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT CARBONIZED FUEL INDONESIA,Indonesia,+62 812-1415-3574,https://carbonizedfuel.com/,support@carbonizedfuel.com,carbonizedfuel@gmail.com,,Lead,Available
Exporter,ID Palm Kernel Shell,MINE BIOMASS INDONESIA,Indonesia,,https://biomassfuelindonesia.com/,,,,Lead,
Exporter,ID Palm Kernel Shell,BERKAH ENERGI ABADI,Indonesia,+62 852-1150-8987,https://beaenergy.daw.co.id/,system.admin@daw.co.id,,,Lead,Available
Exporter,ID Palm Kernel Shell,SUPAIDI BOGA JAYA,Indonesia,+62 838-5707-3900,http://www.tokobogajaya.com/,hello@nivelliastore.com,,,Lead,Available
Exporter,ID Palm Kernel Shell,ETAM BERSAMA LESTARI,Indonesia,+62 21 57944737,http://www.tap-agri.com/,,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,TAIYO BIOMASS INDONESIA,Malaysia,+60 7-252 9107,http://www.taiyobiomass.com/usr/contactus.aspx?pgid=6,info@taiyobiomass.com,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT SAMUDERA SAWIT SUBUR,Indonesia,+62 21 29461888,http://www.sss.id/,info@sss.id,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT NATURAL ENERGI SUKSES,Indonesia,+62 882-7653-0504,http://www.pteni.com/,,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,NDI,United States,+1 661-322-6044,http://www.ndi.us/,,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,MITRA ABADI,Indonesia,+62 21 4897358,http://www.mitraabadigroup.com/,sales@mitraabadigroup.com,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT INTI PERSADA,Indonesia,+62 821-7009-9099,http://www.intipersada.co.id/,,,,Lead,Available
Exporter,ID Palm Kernel Shell,PT EKASAPTA PARAMITA ENERGI,Indonesia,,http://www.epe-corp.com/,operation@ekasaptaparamitaenergi.com,,,Lead,
Exporter,ID Palm Kernel Shell,PINANGMAS ENERGY,Lithuania,+370 5 219 0784,http://www.energesman.lt/,info@energesman.lt,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,PT BERKAH NABATI NUSANTARA,Indonesia,+62 812-5051-6015,http://www.bernusantara.com/,berkah.nabati@bernusantara.com,,,Lead,Available
Exporter,ID Palm Kernel Shell,PT ASIATEC LINK,Indonesia,+62 21 5349616,http://www.asiatec.co.jp/,info@asiatec.co.jp,,,Lead,Not Available
Exporter,ID Palm Kernel Shell,SARI DUMAI SEJATI,Indonesia,+62 817-7653-2900,http://www.apicalgroup.com/,brtrading@apicalresources.com,corpcomm@apicalgroup.com,,Lead,Available
Exporter,ID Palm Kernel Shell,SINAR JAYA INTI MULYA,Indonesia,,http://sjai.co.id/sinar-jaya-inti-mulya/,,,,Lead,
Exporter,ID Palm Kernel Shell,CV SANJAYA MULTI ARTHA,Indonesia,+62 812-6036-8127,http://sanjayatrade.com/,,,,Lead,Available
