Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Exporter,ID Damar,CV UNIVERSAL VINDO COCO,Indonesia,+62 895-3981-14441,https://www.vindococo.com/,,,,Lead,Available
Exporter,ID Damar,PT GLOBAL TRINUSA KARYAMANDIRI,Indonesia,+62 812-8000-2811,https://www.trikaryagroup.co.id/,trikarya.gs@gmail.com,,,Lead,Available
Exporter,ID Damar,PT TRANS PRATAMA SEJAHTERA,Indonesia,+62 21 48671276,https://www.tp-sejahtera.com/,marketing1@tp-sejahtera.com,marketing2@tp-sejahtera.com,,Lead,Not Available
Exporter,ID Damar,PT SKYINDO GLOBAL NIAGA,Indonesia,+62 857-1956-7991,https://www.skyindoglobalniaga.com/,mkhalis@skyindoglobalniaga.com,skyindo.global.niaga@gmail.com,,Lead,Available
Exporter,ID Damar,SHOWA KOSAN INDONESIA,Indonesia,+62 21 80615720,https://www.showakosan.co.id/,marketing@showakosan.co.id,,,Lead,Not Available
Exporter,ID Damar,AGUNG ABADI,Indonesia,+62 361 461688,https://www.sakaagungabadi.com/,info@pt-saa.com,,,Lead,Not Available
Exporter,ID Damar,PT PRIMAGUM SEJATI,Indonesia,+62 276 322399,https://www.panbrotherstbk.com/,corpsec@pbrx.co.id,pbt@pbrx.co.id,,Lead,Not Available
Exporter,ID Damar,LG PRODUK BORNEO,Indonesia,+62 1 500 140,https://www.lg.com/id/dukungan,,,,Lead,Not Available
Exporter,ID Damar,KREASI EMAS GEMILANG,Indonesia,+62 21 54373132,https://www.kreasiemasgemilang.com/,,,,Lead,Not Available
Exporter,ID Damar,PT INDO DEVTA SAMUDERA,Indonesia,+62 31 7491888,https://www.indocitra.com/,,,,Lead,Not Available
Exporter,ID Damar,PT INDOBANGLA TRADE INTERNATIONAL,Indonesia,+62 852-1735-6663,https://www.indobangla.co.id/,info@indobangla.co.id,,,Lead,Available
Exporter,ID Damar,GLOBAL CHEMINDO MEGATRADING,Indonesia,+62 21 80604230,https://www.gcm.co.id/,,,,Lead,Not Available
Exporter,ID Damar,PT DAMAR HUTAN NUSANTARA,Indonesia,+62 31 3281328,https://www.damarsamudranusantara.co.id/,,,,Lead,Not Available
Exporter,ID Damar,BORNEO RESOURCES CARGO,Indonesia,+62 811-8889-377,https://www.borneocargologistics.com/,borneocargologistics@gmail.com,,,Lead,Available
Exporter,ID Damar,GEMILANG BUMITAMA SUKSES,Indonesia,+62 812-9001-9010,https://www.arsitag.com/,customerservice@arsitag.com,sgomedi@arsitag.com,,Lead,Available
Exporter,ID Damar,PT AGRO MINA MANDIRI,Indonesia,,https://www.agrominawicaksana.com/,sales3@agrominawicaksana.com,,,Lead,
Exporter,ID Damar,PT VASUDHA ANUGERAH COMMODITY,Indonesia,+62 812-1057-7333,https://web.facebook.com/profile.php?id=100093499234707,,,,Lead,Available
Exporter,ID Damar,UD THESSA,Indonesia,+62 811-310-399,https://twitter.com/damarbatu,,,,Lead,Not Available
Exporter,ID Damar,CV VAJRA TERATAI ABADI,Indonesia,+62 878-4009-4919,https://trisulajayaabadi.com/,sales@trisulajayaabadi.com,,,Lead,Available
Exporter,ID Damar,PT TERRA INTERNASIONAL INDONESIA,Indonesia,+62 21 39524418,https://terra-indonesia.com/,inquiry@terra-indonesia.com,,,Lead,Not Available
Exporter,ID Damar,PT SINAR SANSKARA SAMUDRA,Indonesia,+62 812-7838-748,https://sinarsans.com/,admin@apecsa-indonesia.com,,,Lead,Available
Exporter,ID Damar,PT SEJAHTERA AWAL BERSAMA,Indonesia,+62 878-6559-4153,https://sejahteraawalbersama.com/,sejahteraawalbersama@gmail.com,,,Lead,Available
Exporter,ID Damar,SARIMAKMUR TUNGGALMANDIRI,Indonesia,+62 31 3978262,https://sarimakmurtunggalmandiri.com/,,,,Lead,Not Available
Exporter,ID Damar,PT NATURA SURYA KIMIA,Indonesia,+62 21 29195260,https://nk-kimia.com/,info@nk-kimia.com,,,Lead,Not Available
Exporter,ID Damar,PT REKAYASA CIPTA KREASI,Indonesia,+62 361 8483758,https://nirwanaciptakreasi.com/,nck@nirwanaciptakreasi.com,,,Lead,Not Available
Exporter,ID Damar,SANTIKA SANDANG SEJAHTERA,Indonesia,+62 361 4727111,https://mysantika.com/indonesia/badung/hotel-santika-seminyak,e-commerce@seminyakbali.santika.com,seminyak@reservation.santika.com,,Lead,Not Available
Exporter,ID Damar,MULTI ORGANIC INTERNATIONAL,India,+91 22 4235 4000,https://multiorganics.com/,,,,Lead,Not Available
Exporter,ID Damar,PT MITRA AGRO GLOBAL,Indonesia,,https://mitraagroglobal.com/,marketing@mitraagoglobal.com,,,Lead,
Exporter,ID Damar,MAHIRA TRADE INTERNATIONAL,India,+91 99991 01038,https://mahirainternational.com/,mahirainternational10@gmail.com,info@dsngrid.com,,Lead,Available
Exporter,ID Damar,PT MAHALAYA AGRI CORP,Indonesia,+62 31 99025297,https://mahalayaagri.com/,,,,Lead,Not Available
Exporter,ID Damar,MITRA SETIA ABADI,Indonesia,+62 323 324999,https://linktr.ee/MSABADI,,,,Lead,Not Available
Exporter,ID Damar,PT TANI KONJAC INDONESIA,Indonesia,+62 812-8967-8628,https://konjacfarm.com/,konjacf@gmail.com,,,Lead,Not Available
Exporter,ID Damar,CV KAHAKA INTERNATIONAL,Indonesia,+62 638 02064,https://kahakainternational.com/,,,,Lead,Not Available
Exporter,ID Damar,PT BUANA PERSADA ENTERPRICE,Indonesia,+62 31 33601136,https://intanbuanapersada.com/,admin@intanbuanapersada.co.id,intanbuanapersada@yahoo.com,,Lead,Not Available
Exporter,ID Damar,PT ALSAHALAH KARGO LOGISTIK,Indonesia,+62 812-3726-5700,https://instagram.com/shakabalilogistik?igshid=YmMyMTA2M2Y=,,,,Lead,Available
Exporter,ID Damar,PT NASCO,Indonesia,+62 61 80869476,https://indopine.com/,,,,Lead,Not Available
Exporter,ID Damar,PT GLOBAL INDO KUSUMA,Indonesia,,https://iglobe.id/,,,,Lead,
Exporter,ID Damar,HUTAN INDO LESTARI,Indonesia,+62 21 3147574,https://hutanindo.com/,,,,Lead,Not Available
Exporter,ID Damar,PT FIVE RIVERS INTERNATIONAL,Indonesia,,https://fiveriversinternational.com/,rivers.international5@gmail.com,,,Lead,
Exporter,ID Damar,PT AMBOINA JAYA ABADI,Indonesia,+62 812-4958-8880,https://ekspedisiamboina.com/,amboinaexpress5c@gmail.com,,,Lead,Available
Exporter,ID Damar,KING INDONESIA,Indonesia,,https://bkdelivery.co.id/,,,,Lead,
Exporter,ID Damar,CV BINTANG ANDARA PERKASA,Indonesia,,https://bintang-perkasa.co.id/,admin@bintang-perkasa.co.id,,,Lead,
Exporter,ID Damar,GOLDEN GLOBE,India,+91 1800 4253 1111,https://auroville.org/,,,,Lead,Not Available
Exporter,ID Damar,MEVA AURA,Indonesia,+62 812-3619-2003,https://aurabalitours.wordpress.com/,aura_balitours@yahoo.co.id,,,Lead,Available
Exporter,ID Damar,ASNAFF GROUP MANDIRI,Indonesia,,https://asnaff.com/,asnaffint@gmail.com,,,Lead,
Exporter,ID Damar,PT ARKA TAMA INDONESIA,Indonesia,+62 812-3431-1135,https://arkatama.id/,info@arkatama.id,,,Lead,Available
Exporter,ID Damar,APLUS WINJAYA SEMESTA,Indonesia,,https://aplus.co.id/,,,,Lead,
Exporter,ID Damar,ALFA SENTRA WISESA,Indonesia,+62 411 840656,https://alfasentrawisesa.com/,admin@alfasentrawisesa.com,alfasentrawisesa@gmail.com,,Lead,Not Available
Exporter,ID Damar,XOSO,Indonesia,+62 263 2323947,http://xoso.co.id/,,,,Lead,Not Available
Exporter,ID Damar,WWRC INDONESIA,Indonesia,+62 31 8918302,http://www.wwrc.com/,,,,Lead,Not Available
Exporter,ID Damar,CV TRUST INDO DAMAR,Indonesia,+62 852-5119-8888,http://www.trustindodamar.com/,,,,Lead,Available
Exporter,ID Damar,UD STAR LABORATORIES,Indonesia,+62 816-525-328,http://www.star-laboratories.com/,marketing@star-laboratories.com,,,Lead,Not Available
