Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Exporter,ID Briquette,PT SABAH NUSA GLOBAL,Indonesia,+62 821-2399-3466,https://www.zarabriquettes.com/,,,,Lead,Available
Exporter,ID Briquette,TETA JAYA INDONESIA,Indonesia,+62 819-0130-2256,https://www.tetajayaindonesia.com/,,,,Lead,Available
Exporter,ID Briquette,PT SAMUDERA SULAWESI SEJAHTERA,Indonesia,+62 813-1932-9007,https://www.ss-s.co.id/,info@ss-s.co.id,,,Lead,Available
Exporter,ID Briquette,PT SINAR WIJAYA PLYWOOD INDUSTRIES,Indonesia,,https://www.sinarwijayagroup.com/,,,,Lead,
Exporter,ID Briquette,CV SELARAS INDO GLOBAL,Indonesia,+62 24 76419279,https://www.selarasindoglobal.com/,admin@selarasindoglobal.com,youremail@address.com,,Lead,Not Available
Exporter,ID Briquette,PT ISMAIL INTERNATIONAL GLOBAL,Indonesia,+62 822-4902-3417,https://www.ptismailinternationalglobal.com/,,,,Lead,Not Available
Exporter,ID Briquette,PT PELITA MULIA INDONESIA,Indonesia,,https://www.pmicharcoal.com/,info@pmicharcoal.com,,,Lead,
Exporter,ID Briquette,ECO COCO,India,+91 82604 80330,https://www.kingscocoresort.in/,,,,Lead,Available
Exporter,ID Briquette,CV KAYAKAYU JEPARA,Indonesia,+62 812-9869-3939,https://www.kayakayujepara.co.id/,support@kayakayujepara.co.id,,,Lead,Available
Exporter,ID Briquette,MAHAQUINN ENERGI INDONESIA,Indonesia,,https://www.kangean-energy.com/,,,,Lead,
Exporter,ID Briquette,PT COCO TRADING GROUP,Indonesia,,https://www.instagram.com/coco.tradinggroup/,,,,Lead,
Exporter,ID Briquette,DIAN NIAGA YOGYAKARTA,Indonesia,+62 812-8399-022,https://www.dianniaga.com/,,,,Lead,Available
Exporter,ID Briquette,ARIMBAKA SELARAS INDONESIA ARSINDO,Indonesia,+62 21 89071567,https://www.cvnara.com/,admin@cvnara.com,,,Lead,Not Available
Exporter,ID Briquette,COCO CARBON INDONESIA,Indonesia,+62 264 8286205,https://www.cococarbonindonesia.com/,,,,Lead,Not Available
Exporter,ID Briquette,CAVRON GLOBAL,Indonesia,+62 21 50560285,https://www.cavronglobal.com/contact/,info@cavronglobal.com,,,Lead,Not Available
Exporter,ID Briquette,PT CAVRON GLOBAL,Indonesia,,https://www.cavronglobal.com/,,,,Lead,
Exporter,ID Briquette,BINTANG BUANA KARYA,Indonesia,+62 21 82598898,https://www.bbkina.com/,,,,Lead,Not Available
Exporter,ID Briquette,PT ARKA TAMA INDONESIA,Indonesia,+62 812-9700-9755,https://www.arkacoco.com/,marketing.arkatama@gmail.com,,,Lead,Available
Exporter,ID Briquette,ARGO MITRA UTAMA,Indonesia,,https://www.argomitrautama.com/,,,,Lead,
Exporter,ID Briquette,PT ALWANAS LESTARI INTERNASIONAL,Indonesia,+62 857-2534-3738,https://www.alwanaslestaricoco.com/,alwanaslestariinternasional21@gmail.com,,,Lead,Available
Exporter,ID Briquette,PT PRIME DIVA GROUP,Indonesia,+62 858-4631-9584,https://web.facebook.com/primecharcoalfactory,,,,Lead,Available
Exporter,ID Briquette,TK INDUSTRIAL INDONESIA,Indonesia,+62 260 7556761,https://tkg.taekwang.com/in/index.do,,,,Lead,Not Available
Exporter,ID Briquette,CV SEDEP ABADI SEJAHTERA,Indonesia,+62 812-8085-5443,https://sejahteraabadigrup.mypixieset.com/,,,,Lead,Available
Exporter,ID Briquette,SARANA AGRO INDO JAYA,Indonesia,,https://saindoglobal.com/,vijay@maasaicorp.com,info@saindoglobal.com,,Lead,
Exporter,ID Briquette,PUNDI MAS PERUSAHAAN INDONESIA,Indonesia,+62 22 54430315,https://pundimascorps.com/,info@pundimascorps.com,,,Lead,Not Available
Exporter,ID Briquette,PT MAU CHA GROUP,Indonesia,+62 815-1330-9830,https://pt-maucha.com/,info@pt-maucha.com,,,Lead,Available
Exporter,ID Briquette,PRINGGONDANI SETIA NUSANTARA,Indonesia,,https://psn-charcoal.com/,info.ptpsn@gmail.com,,,Lead,
Exporter,ID Briquette,PAPERTECH INDONESIA,Indonesia,+62 260 710645,https://papertech.com/,,,,Lead,Not Available
Exporter,ID Briquette,OMYRA GLOBAL RESOURCES,Indonesia,,https://omyraglobal.com/,info@omyraglobal.com,,,Lead,
Exporter,ID Briquette,PT KLAPA NIAGA BERKAH,Indonesia,+62 813-9677-7378,https://niagaberkahanugrah.com/,info@niagaberkahanugrah.com,niagaberkahanugrah@gmail.com,,Lead,Not Available
Exporter,ID Briquette,SINAR MUTIARA TRADING,United Arab Emirates,+971 52 630 9743,https://mutiaracharcoal.com/,info@mutiaracharcoal.com,,,Lead,Available
Exporter,ID Briquette,PT MUSAYU MITRA MANDIRI,Indonesia,+62 838-7898-0999,https://musayumm.com/contact-us.html,musayumitramandiri22@gmail.com,,,Lead,Available
Exporter,ID Briquette,MITRA WOOD SEJAHTERA,Indonesia,+62 812-3173-8456,https://mitrawoodsejahtera.com/,mitrawoodsejahterasales@gmail.com,,,Lead,Available
Exporter,ID Briquette,MITRA BERKAH SETIA ABADI,Indonesia,+62 22 85933911,https://mitraabadisetia.co.id/,mitraabadisetia57@gmail.com,,,Lead,Not Available
Exporter,ID Briquette,PT MEGA TAMA GLOBALINDO,Indonesia,,https://megatamaglobalindo.id/,,,,Lead,
Exporter,ID Briquette,CV ABIYYU SUKSES BERSAMA,Indonesia,,https://instagram.com/doobu.id?igshid=N2ZiY2E3YmU=,,,,Lead,
Exporter,ID Briquette,CV INSAN BERKAH MULTINDO,Indonesia,+62 813-8106-1823,https://insanberkahmandiri.id/CompanyProfile,,,,Lead,Available
Exporter,ID Briquette,INDOCOCO BARA MULIA,Indonesia,,https://indococobaramulia.com/,,,,Lead,
Exporter,ID Briquette,CV FILLO SEJAHTERA MANDIRI,Indonesia,+62 812-3535-8908,https://indobriquettes.com/,contact@indobriquettes.com,,,Lead,Available
Exporter,ID Briquette,ECO PRODUK INDONESIA,Indonesia,+62 852-1091-8885,https://ecorasa.id/,hello@ecorasa.id,,,Lead,Available
Exporter,ID Briquette,DARIEN NUSANTARA ABADI,Indonesia,+62 813-2679-3993,https://dnacompany.m.trustpass.alibaba.com/?tracelog=alisupplier_sns_minisite,,,,Lead,Not Available
Exporter,ID Briquette,PT DUST KENCANA PRIMA,Indonesia,+62 816-251-194,https://dkpcharcoal.com/,info@dkpcharcoal.com,,,Lead,Not Available
Exporter,ID Briquette,PT DIGDAYA BERKAH INDONESIA,Indonesia,,https://digdaya-hj.com/,office@digdaya-hj.com,admin@digdaya-hj.com,,Lead,
Exporter,ID Briquette,PLEASURE COMPANY,India,+91 92899 22400,https://dealers.heromotocorp.com/bajrang-automobiles-pvt-ltd-hero-motocorp-two-wheeler-dealer-rampur-road-haldwani-25068/Home?utm_source=locator&utm_medium=googleplaces,bajrang@heromotocorp.biz,,,Lead,Not Available
Exporter,ID Briquette,PT SUMA BRIKET PREMIUM,Indonesia,+62 812-9000-0414,https://charcoalpremium.com/,,,,Lead,Available
Exporter,ID Briquette,PT CHALABI GRUP INDONESIA,Indonesia,+62 812-1212-3511,https://charcoalchalabi.com/,chalabigroupindonesia2@gmail.com,,,Lead,Available
Exporter,ID Briquette,PT COCO TOTAL KARBON INDONESIA,Indonesia,+62 811-8797-070,https://charcoal.pro/,finance@charcoal.pro,gatot@charcoal.pro,,Lead,Available
Exporter,ID Briquette,PT BERKAH KERTA RAHARJA,Indonesia,+62 821-1115-0550,https://bkr.co.id/,contact@bkr.co.id,,,Lead,Available
Exporter,ID Briquette,PT DEWI SEMESTA DIRGANTARA,Indonesia,+62 812-8651-6293,https://bit.ly/3FL5Dd6,me@jonathanmacdonald.com,,,Lead,Available
Exporter,ID Briquette,BINTANG YASA ABADI,Indonesia,,https://bintangyasaabadi.co.id/,bintangyasa2024@gmail.com,,,Lead,
Exporter,ID Briquette,BUDI LUHUR ABADI,Indonesia,+62 21 38924020,https://ayohaji.id/,,,,Lead,Not Available
Exporter,ID Briquette,PT ARACOCO GLOBAL INDUSTRI,Indonesia,+62 822-1777-7130,https://aracoco.id/,sales@aracoco.id,,,Lead,Available
Exporter,ID Briquette,PT ANEKA SINENDO,Indonesia,,https://anekabaramulia.com/,,,,Lead,
Exporter,ID Briquette,PT ALSHARIF JAYA GRUP,Indonesia,+62 21 21241443,https://alsharifshop.com/,info@alsharifshop.com,,,Lead,Not Available
Exporter,ID Briquette,PT ABIZARD NIAGA UTAMA,Indonesia,+62 263 2933925,https://abizardniagautama.com/,hallo@abizardniagautama.com,,,Lead,Not Available
Exporter,ID Briquette,UNICO INDONESIA,Indonesia,,http://www.unicoid.com/,marketing@unicoid.com,,,Lead,
