Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Exporter,ID Cinnamon,KIRANA GLOBAL SAMUDERA,Indonesia,+62 21 65311389,https://www.samudera.id/,,,,Lead,Not Available
Exporter,ID Cinnamon,REMPAHSARI,Indonesia,+62 812-9477-982,https://www.rempahsari.com/,,,,Lead,Available
Exporter,ID Cinnamon,PUNDI ARTA ABADI,Indonesia,+62 21 50856021,https://www.pundiarthamahkota.com/,,,,Lead,Not Available
Exporter,ID Cinnamon,AGRI SPICE INDONESIA,Indonesia,+62 272 322226,https://www.ptasi.id/,ptasi@agrobusiness.id,,,Lead,Not Available
Exporter,ID Cinnamon,AGRO WIJAYA,Indonesia,+62 22 555958,https://www.ptagrowijaya.com/,inquiry@agrowijaya.com,,,Lead,Not Available
Exporter,ID Cinnamon,PT PAN GLOBAL RESOURCES,Canada,+1 778-372-7101,https://www.panglobalresources.com/,investors@panglobalresources.com,,,Lead,Not Available
Exporter,ID Cinnamon,GLORY VICTORY,India,+91 124 433 0567,https://www.oyorooms.com/201073/,guestsupport.na@oyorooms.com,,,Lead,Not Available
Exporter,ID Cinnamon,PT OLAM INDONESIA,Indonesia,+62 21 50989300,https://www.olamgroup.com/,sustainability@olamagri.com,wood@olamnet.com,,Lead,Not Available
Exporter,ID Cinnamon,NATURE AGRO SPICES,India,+91 98476 95218,https://www.naturemadespices.com/,,,,Lead,Available
Exporter,ID Cinnamon,KREASI EMAS GEMILANG,Indonesia,+62 21 54373132,https://www.kreasiemasgemilang.com/,,,,Lead,Not Available
Exporter,ID Cinnamon,DWI MAKMUR JAYA,Indonesia,+62 21 22886348,"https://www.google.co.id/maps/@-6.395086,106.9375962,162a,52.1y,4.07t/data=!3m1!1e3!10m1!1e2?hl=id",press@google.com,,,Lead,Not Available
Exporter,ID Cinnamon,AGRO MAS,India,+91 95942 99494,https://www.facebook.com/910.masagro,,,,Lead,Available
Exporter,ID Cinnamon,PT EXPO COMMODITIES INDONESIA,Indonesia,+62 31 8683775,https://www.efl.global/,,,,Lead,Not Available
Exporter,ID Cinnamon,BERKAH AGRARIS NUSANTARA,Indonesia,+62 856-9115-0493,https://www.berkahaguna.com/,contact@berkahaguna.com,,,Lead,Available
Exporter,ID Cinnamon,KERINCI AGRO,Indonesia,+62 822-4870-7464,https://sites.google.com/view/cascara-kerinci/?fbclid=PAAab87NWpaH0ikKwpu9Y4rdwWJTEQY50HL9Hbu6OtdWrLGp5DbG4QEcri1YU,,,,Lead,Available
Exporter,ID Cinnamon,PT SINERGI GLOBAL PRODUK,Indonesia,+62 817-7954-7946,https://sinergro.com/,info@sinergro.com,,,Lead,Not Available
Exporter,ID Cinnamon,TROPICAL ANDALAS SPICES,Indonesia,+62 751 482500,https://ptsts.co.id/,marketing@stspices.id,,,Lead,Not Available
Exporter,ID Cinnamon,AZZAHRA CORPORATION,Indonesia,+62 811-3111-0000,https://primaland.id/azzahra-residence,official@primaland.id,,,Lead,Available
Exporter,ID Cinnamon,PRIMA PANEMA ARTA,India,+91 81690 92323,https://primaart.in/,,,,Lead,Available
Exporter,ID Cinnamon,MAHALAYA AGRI CORP,Indonesia,+62 31 99025297,https://mahalayaagri.com/,,,,Lead,Not Available
Exporter,ID Cinnamon,SURYA MAS,Indonesia,+62 852-4268-6876,https://cvsuryamas.com/,exportimport@cvsuryamas.com,,,Lead,Not Available
Exporter,ID Cinnamon,PT DEWI SEMESTA DIRGANTARA,Indonesia,+62 812-8651-6293,https://bit.ly/3FL5Dd6,me@jonathanmacdonald.com,,,Lead,Available
Exporter,ID Cinnamon,PT BAHTERA ADI KONAT,Indonesia,+62 21 75881901,https://bahteraadijaya.com/,,,,Lead,Available
Exporter,ID Cinnamon,ARSARI PEDULI INDONESIA,Indonesia,+62 21 5732284,https://arsari.co.id/,,,,Lead,Not Available
Exporter,ID Cinnamon,CV ANANTARA,India,+91 97180 01367,https://anantaraclubs.com/,,,,Lead,Available
Exporter,ID Cinnamon,AURY MAKMUR,Indonesia,+62 816-5407-701,http://xporia.co/,addons4prestashop@gmail.com,demo@demo.com,,Lead,Available
Exporter,ID Cinnamon,TRUE SPICES INDONESIA,Indonesia,+62 31 99623538,http://www.truspices.com/,info@truspices.com,,,Lead,Not Available
Exporter,ID Cinnamon,SUPAIDI BOGA JAYA,Indonesia,+62 838-5707-3900,http://www.tokobogajaya.com/,hello@nivelliastore.com,,,Lead,Available
Exporter,ID Cinnamon,PEMUDA TIGASATU,Indonesia,+62 21 55768298,http://www.tigasatumedika.com/,,,,Lead,Not Available
Exporter,ID Cinnamon,PT SUPA SURYA NIAGA,Indonesia,+62 31 8014648,http://www.supasurya.com/,info@supasurya.com,,,Lead,Not Available
