Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Exporter, ID Birdnest,PT ADIPURNA MRANATA JAYA,Indonesia,+62 21 78833555,https://www.xiaoniaoyw.com/,,,,Lead,Not Available
Exporter, ID Birdnest,CV RIMBUN JAYA TRANS,Indonesia,+62 852-6148-5062,https://www.rimbunjaya.co.id/,,,,Lead,Available
Exporter, ID Birdnest,PT KREASI ALAM INDONESIA,Indonesia,,https://www.kreasialam.com/,sales@kreasialam.com,,,Lead,
Exporter, ID Birdnest,PT ESTA INDONESIA,Indonesia,+62 24 6582804,https://www.estaindonesia.co.id/,corsec@estaindonesia.co.id,,,Lead,Not Available
Exporter, ID Birdnest,CV MULTI WALET,Indonesia,+62 819-3473-1774,https://www.cvmultiwalet.com/,,,,Lead,Available
Exporter, ID Birdnest,PT WALETA ASIA JAYA,Indonesia,+62 298 6031388,https://waleta019.com/,,,,Lead,Not Available
Exporter, ID Birdnest,PT NATURA KARUNIA AGUNG,Indonesia,+62 21 22559999,https://thepremiumbirdnest.com/,cs@naturakarunia.com,,,Lead,Not Available
Exporter, ID Birdnest,PT TANEST BIRD NEST,Indonesia,+62 31 37391999,https://tanest.co.id/,,,,Lead,Not Available
Exporter, ID Birdnest,PT SHINE TRUSTINDO LOGISTIK,Indonesia,+62 812-7558-7006,https://shinelogistik.com/,,,,Lead,Available
Exporter, ID Birdnest,PT SUMBER ALAM BORNEO INDONESIA MAKMUR,Indonesia,+62 343 5631849,https://sabimbirdnest.com/,,,,Lead,Not Available
Exporter, ID Birdnest,PUTRA SION SEJAHTERA,Indonesia,+62 812-6976-8193,https://putrasionmandiri.co.id/,putrasionmandiri@gmail.com,,,Lead,Not Available
Exporter, ID Birdnest,ANUGERAH NGULU ABADI PT,Indonesia,,https://ngulubirdnest.com/,ptanugerahnguluabadi@yahoo.com,,,Lead,
Exporter, ID Birdnest,PT MEGA RATU WALET,Indonesia,+62 61 25802033,https://mrw.co.id/,admin@mrw.co.id,,,Lead,Not Available
Exporter, ID Birdnest,SUMBER ALAM,Indonesia,+62 811-1211-7838,https://linktr.ee/KampungSumberAlam,reservation@resort-kampungsumberalam.com,,,Lead,Available
Exporter, ID Birdnest,PT LIMS YANWO INDONESIA,Indonesia,,https://limsyanwo.com/,,,,Lead,
Exporter, ID Birdnest,PT HUSEIN ALAM INDAH,Indonesia,+62 31 99113542,https://huseinalamindah.com/,contact@huseinalamindah.com,,,Lead,Not Available
Exporter, ID Birdnest,PT ALAM ANUGERAH LESTARI,Indonesia,+62 821-3747-6157,https://echonusantara.com/,aal@arsari.co.id,,,Lead,Available
Exporter, ID Birdnest,PT CEFA INDONESIA SEJAHTERA LESTARI,Indonesia,,https://cefaindonesia.com/,pt.cefaindonesia@yahoo.com,,,Lead,
Exporter, ID Birdnest,PT BINA WALET INDONESIA,Indonesia,,https://binawalet.co.id/,loremipsum@gmail.com,,,Lead,
Exporter, ID Birdnest,CV BELVINO,Indonesia,+62 816-752-252,https://belvinopatisserie.mygostore.com/,meyke.praditya@gmail.com,,,Lead,Not Available
Exporter, ID Birdnest,PT ATAYA NATA WALET,Indonesia,+62 821-1873-1554,https://atayanatawalet.com/,waletatayanata@gmail.com,,,Lead,Available
Exporter, ID Birdnest,PT AKUI BIRDNEST INDONESIA,Indonesia,,https://akuibirdnest.com/id/,,,,Lead,
Exporter, ID Birdnest,CV BENEVOLENCE FOOD PRODUCTS,India,+91 124 407 6305,http://www.vivanfoods.com/,,,,Lead,Not Available
Exporter, ID Birdnest,PT UNTUNG SEJAHTERAH JAYA,Indonesia,+62 817-7996-4846,http://www.sumberuntungplastik.com/,marketing@sumberuntungplastik.com,hrd@sumberuntungplastik.com,,Lead,Available
Exporter, ID Birdnest,CV SINAR MUTIARA ALAM,Indonesia,+62 21 55700336,http://www.sinarmutiara.co.id/,info@sinarmutiara.co.id,info-sinar@sinarmutiara.co.id,,Lead,Not Available
Exporter, ID Birdnest,PT REALFOOD WINTA ASIA,Indonesia,+62 353 2893131,http://www.realfood.co.id/,hello@realfood.co.id,,,Lead,Not Available
Exporter, ID Birdnest,PT NATURAL JAYA ABADI REMBANG,Indonesia,+62 295 5391042,http://www.naturaljayaabadirembang.com/,,,,Lead,Not Available
Exporter, ID Birdnest,CV MORIA INTERNATIONAL,Indonesia,+62 811-8115-328,http://www.mnest.co.id/,,,,Lead,Available
Exporter, ID Birdnest,CV GCLG MAKMUR,Indonesia,+62 821-3759-9667,http://www.makmurlogam.com/,corlogam.makmur@gmail.com,info@makmurlogam.com,,Lead,Available
Exporter, ID Birdnest,CV MAHR RESOURCES,Indonesia,+62 812-1555-5823,http://www.mahr.co.id/,,,,Lead,Available
Exporter, ID Birdnest,PT GLOBAL TRANSMAJU EMPAT EMPAT,Indonesia,,http://www.globaltransmaju.com/,marketing@globaltransmaju.com.com,marketing@globaltransmaju.com,,Lead,
Exporter, ID Birdnest,GCLG MAKMUR,Indonesia,+62 813-8700-0815,http://www.globalcasesusa.com/,,,,Lead,Available
Exporter, ID Birdnest,PT KREASI ALAM INDONUSA,Indonesia,+62 822-1150-0578,http://www.fnest003.com/,909262687@qq.com,,,Lead,Available
Exporter, ID Birdnest,EKA WALET INDONESIA,Indonesia,+62 21 4526303,http://www.ekawalet.com/,,,,Lead,Not Available
Exporter, ID Birdnest,PT BIO ORGANIK INDONESIA,Indonesia,+62 21 83708920,http://www.biogreenscience.com,,,,Lead,Not Available
Exporter, ID Birdnest,PT BAOBAB INVESTA ASIA,Indonesia,+62 816-4300-510,http://www.asiavesta.com/,info@asiavesta.com,,,Lead,Available
Exporter, ID Birdnest,PT WILWAL BERKAT SEJAHTERA,Indonesia,,http://www.alubless.com/,info@alubless.com,,,Lead,
Exporter, ID Birdnest,PT ABADI LESTARI INDONESIA,Indonesia,+62 353 3234445,http://www.abadilestariindonesia.com/,witny.widjaja@nidina.net,,,Lead,Available
Exporter, ID Birdnest,PT SUTOMO JAYA AGRIBISNIS,Indonesia,,http://sjai.co.id/sutomo-agrindo-mas/,,,,Lead,
Exporter, ID Birdnest,RIMBUN JAYA TRANS,Indonesia,+62 813-1920-4404,http://rimbunjayapersada.blogspot.com/,rimbunjayapersada@gmail.com,,,Lead,Not Available
Exporter, ID Birdnest,RAJAWALI AGUNG SEJAHTERA,Indonesia,+62 21 5213079,http://rajawaliagungwisesa.com/,,,,Lead,Not Available
Exporter, ID Birdnest,ANGKASA SUKSES INDONESIA,Indonesia,+62 21 7202968,http://ptsab.com/,clientservices@ptsab.com,,,Lead,Not Available
Exporter, ID Birdnest,CV PERDANA JAYA,Indonesia,+62 353 888952,http://perdanajayaindo.com/career.php,perdanajayabjn@gmail.com,info@perdanajayaindo.com,,Lead,Not Available
Exporter, ID Birdnest,CV ARTHA RAYA MANDIRI,Indonesia,,http://jam-indonesia.com/,,,,Lead,
Exporter, ID Birdnest,PT FORTUNE NESTINDO SUKSES,Indonesia,+62 21 29725722,http://fortunenestindosukses.com/,info@fortunenestindosukses.com,,,Lead,Not Available
Exporter, ID Birdnest,PT EKA WALET INDONESIA,Indonesia,+62 815-1919-0123,http://eka-birdnest.com/,ekawalet.gv@gmail.com,,,Lead,Available
Exporter, ID Birdnest,CV PURNAMA WIDJAYA,Indonesia,+62 813-1747-9124,http://cvpurnamawidjaya.net/webmail,,,,Lead,Available
Exporter, ID Birdnest,CV CEMARA WANGI INDONESIA,Indonesia,+62 813-3055-0812,http://cemaraekspedisisurabaya.wordpress.com/,,,,Lead,Available
Exporter, ID Birdnest,ANDALAN WALET EKSPOR,Indonesia,+62 811-3399-737,http://awebirdnest.com/,,,,Lead,Available
Exporter, ID Birdnest,ALAMI NEST INDONESIA,Indonesia,+62 812-8885-156,http://alamiorganics.com/,elsje.asn@gmail.com,,,Lead,Available
Exporter, ID Birdnest,GANA BANI UGAHARI,India,,,,,,Lead,
Exporter, ID Birdnest,PT TUNAS JAYA SEMARANG,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,HARTA KARUN NUSANTARA,,,,,,,Lead,
Exporter, ID Birdnest,RAYMOND SUKSES MANDIRI,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,INDOWALET CENTURY JAYA CV,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,AGRIKA GATYA ARUM,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT CEMPAKA MEGA MANDIRI,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PUSAKA WALET NATURAL INDONESIA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT ANUGERAH CITRA WALET INDONESIA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,GRACE NATURA CORPORATION,,,,,,,Lead,
Exporter, ID Birdnest,JASA BERSAMA,,,,,,,Lead,
Exporter, ID Birdnest,PT MAHKOTA ANUGERAH ALAM,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,CV GRACE NATURA CORPORATION,,,,,,,Lead,
Exporter, ID Birdnest,CV ICON X LOGIE,,,,,,,Lead,
Exporter, ID Birdnest,NANYANG BOGA JAYA INDUSTRI,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,BAOBAB INVESTA ASIA,,,,,,,Lead,
Exporter, ID Birdnest,PT KAWAN ALAM GEMILANG,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT INDOWALET CENTURY JAYA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,AMERTA PRIMA UTAMA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,MARTAMBA TAMBA REZEKI,,,,,,,Lead,
Exporter, ID Birdnest,INDOWALET CENTURY JAYA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT RAYMOND SUKSES MANDIRI,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,CEMPAKA MEGA MANDIRI,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,WALET JAYA SENTOSA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,HALIMS KARYA SEMPURNA PT,,,,,,,Lead,
Exporter, ID Birdnest,PT AGRIKA GATYA ARUM,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,CV SAMPANTAO,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT ANUGERAH CITRA WALET,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT SUMBER TJAHAYA ALAM RAYA SAKTI,,,,,,,Lead,
Exporter, ID Birdnest,CV BERLIANT,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT CIPTANUTRISI PERFEKTA RAGA,,,,,,,Lead,
Exporter, ID Birdnest,PURNAMA WIDJAYA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,SUMBER WALET MAS,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT ASIA PRATAMA WALINDO,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,CV ANUGERAH JAYA JAKARTA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT TOP WALET INDONESIA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,ASIA PRATAMA WALINDO,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT INTI HARAPAN NUSANTARA,,,,,,,Lead,
Exporter, ID Birdnest,HARTONO WIJANTO,,,,,,,Lead,
Exporter, ID Birdnest,CV SIMCHA BERSAMA,,,,,,,Lead,
Exporter, ID Birdnest,PT INDO WALET LESTARI,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,LOHONGKA INDONESIA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,MAHKOTA ANUGERAH ALAM,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT LOHONGKA INDONESIA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,SINAR BARU INDONESIA,,,,,,,Lead,
Exporter, ID Birdnest,PT MAJU JAYA SAKTI RAHARJA,,,,,,,Lead,
Exporter, ID Birdnest,PT NANYANG BOGA JAYA INDUSTRI,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,CV SAUDARA JAYA BERSAMA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT TOP RAWYALE INDONESIA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT MIKEN MAJU JAYA MIRA TARNUDJIN,,,,,,,Lead,
Exporter, ID Birdnest,CV INDO SWALLOW NEST,,,,,,,Lead,
Exporter, ID Birdnest,PT WIBOWO ALAM LESTARI,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,CV INDOWALET CENTURY JAYA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,CV HARTA KARUN NUSANTARA,Indonesia,,,,,,Lead,
Exporter, ID Birdnest,PT PUSAKA WALET NATURAL INDONESIA,Indonesia,,,,,,Lead,
