Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Exporter,ID Coffee,PT WAHANA GRAHAMAKMUR,Indonesia,,https://www.wahanaestate.com/,,,,Lead,
Exporter,ID Coffee,V2 INDONESIA,Indonesia,+62 21 29185222,https://www.v2indonesia.com/,info@v2indonesia.com,,,Lead,Not Available
Exporter,ID Coffee,PT JYN GROUP INDONESIA,Indonesia,+62 21 8970187,https://www.uacj-yanjin.com/,wendy@yanjin.co.id,john@doe.com,,Lead,Not Available
Exporter,ID Coffee,SUMBER KOPI PRIMA,Indonesia,,https://www.sumberkopiprima.com/id,,,,Lead,
Exporter,ID Coffee,PT SURYA JAYA NAWASENA,Indonesia,+62 812-1689-1986,https://www.sjnworldwide.com/about-us/,info@sjnworldwide.com,,,Lead,Available
Exporter,ID Coffee,PT SINAR PELITA JAYAABADI,Indonesia,+62 22 7792997,https://www.sinarpelitajayaabadi.com/,spjcocoa@gmail.com,sales@sinarpelitajayaabadi.com,,Lead,Not Available
Exporter,ID Coffee,CV SAKHA INSAN PASADA,Indonesia,+62 21 82480703,https://www.sakha.co.id/shop/,cs@sakhadaya.com,,,Lead,Not Available
Exporter,ID Coffee,PT AGRI SPICE INDONESIA,Indonesia,+62 272 322226,https://www.ptasi.id/,ptasi@agrobusiness.id,,,Lead,Not Available
Exporter,ID Coffee,OLAM INDONESIA,Indonesia,+62 21 50989300,https://www.olamgroup.com/,website@olamnet.com,edibleoil@olamnet.com,,Lead,Not Available
Exporter,ID Coffee,NUTRISI LESTARI MAS,Indonesia,+62 823-2525-7795,https://www.nutrisibumilestari.com/,,,,Lead,Available
Exporter,ID Coffee,NESTLE INDONESIA,Indonesia,+62 21 78836000,https://www.nestle.co.id/,,,,Lead,Not Available
Exporter,ID Coffee,PT MATOGA CIPTA INDONESIA,Indonesia,+62 811-6242-925,https://www.matogaciptaindonesia.com/,,,,Lead,Not Available
Exporter,ID Coffee,PT JAVAPRIMA ABADI,Indonesia,+62 24 76450888,https://www.kopiluwak.id/,,,,Lead,Not Available
Exporter,ID Coffee,TALKINDO SELAKSA ANUGRAH,Indonesia,+62 21 58902147,https://www.jcodonuts.com/,,,,Lead,Not Available
Exporter,ID Coffee,PT NATURE GLOBAL KOMODITI,Indonesia,+62 823-2034-3015,https://www.instagram.com/wangisaricoffee05?igsh=ZTE4aHAyeXQwcTlo,,,,Lead,Available
Exporter,ID Coffee,CV JAVA HALU COFFEE,Indonesia,,https://www.instagram.com/tokojavahalucoffee?igsh=MzVtMWFjbTBqbmpm,,,,Lead,
