Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Exporter,ID Clove,WAHANA GRAHAMAKMUR,Indonesia,,https://www.wahanaestate.com/,,,,Lead,
Exporter,ID Clove,SWATI COMMODITIES,India,,https://www.swatiexim.net/,swati@swatiexim.net,,,Lead,
Exporter,ID Clove,SINAR PELITA JAYAABADI,Indonesia,+62 22 7792997,https://www.sinarpelitajayaabadi.com/,spjcocoa@gmail.com,sales@sinarpelitajayaabadi.com,,Lead,Not Available
Exporter,ID Clove,SIMBA EKSPOR NUSANTARA,Indonesia,+62 21 8674818,https://www.simba.co.id/,combicarecenter@combiphar.com,,,Lead,Not Available
Exporter,ID Clove,KIRANA GLOBAL SAMUDERA,Indonesia,+62 21 65311389,https://www.samudera.id/,,,,Lead,Not Available
Exporter,ID Clove,PT AGRI SPICE INDONESIA,Indonesia,+62 272 322226,https://www.ptasi.id/,ptasi@agrobusiness.id,,,Lead,Not Available
Exporter,ID Clove,AGRO WIJAYA,Indonesia,+62 22 555958,https://www.ptagrowijaya.com/,inquiry@agrowijaya.com,,,Lead,Not Available
Exporter,ID Clove,ARTOMORO AGRI SENTOSA,Indonesia,+62 21 86863048,https://www.pt-asr.com/,cs@pt-asr.com,,,Lead,Not Available
Exporter,ID Clove,PT PAN GLOBAL RESOURCES,Canada,+1 778-372-7101,https://www.panglobalresources.com/,investors@panglobalresources.com,,,Lead,Not Available
Exporter,ID Clove,NATURE AGRO SPICES,India,+91 98476 95218,https://www.naturemadespices.com/,,,,Lead,Available
Exporter,ID Clove,PT MBD GROUP EXPORT,India,+91 11 6131 2345,https://www.mbdgroup.com/,info@mbdgroup.com,,,Lead,Not Available
Exporter,ID Clove,ALPHA AGRO INDONESIA,Indonesia,+62 821-4432-8864,https://www.instagram.com/alphaagroindonesiabali,,,,Lead,Available
Exporter,ID Clove,DWI MAKMUR JAYA,Indonesia,+62 21 22886348,"https://www.google.co.id/maps/@-6.395086,106.9375962,162a,52.1y,4.07t/data=!3m1!1e3!10m1!1e2?hl=id",press@google.com,,,Lead,Not Available
Exporter,ID Clove,CV CIPTA KURNIA ABADI,Indonesia,+62 878-6983-9587,https://www.facebook.com/pages/CvCipta-karunia-Abadi/638206186200703,,,,Lead,Not Available
Exporter,ID Clove,PT EXPO COMMODITIES INDONESIA,Indonesia,+62 31 8683775,https://www.efl.global/,,,,Lead,Not Available
Exporter,ID Clove,MACES SPICE,India,+91 89294 34555,https://trivenigroup.in/,sales@trivenigroup.in,,,Lead,Available
Exporter,ID Clove,DEWA AGRO LESTARI,Indonesia,+62 361 9071410,https://theagrifresh.id/,,,,Lead,Not Available
Exporter,ID Clove,CV GLOBAL AGRO KOMODITI,Indonesia,+62 856-9306-0506,https://sites.google.com/view/gtfglobalagro/halaman-muka,,,,Lead,Available
Exporter,ID Clove,SALIMBADO JAYA INDONESIA,Indonesia,+62 812-1314-3540,https://salimbadogroup.com/,,,,Lead,Available
Exporter,ID Clove,KRIS ALAM NUSANTARA,Indonesia,+62 812-1712-6982,https://ptkan.com/,sales.ptkan@gmail.com,,,Lead,Available
Exporter,ID Clove,EXPO IMPOR EKSPOR,Indonesia,+62 21 50200671,https://ptexpoindo.com/,support@company.com,info@ptexpoindo.com,,Lead,Not Available
Exporter,ID Clove,PRIMA PANEMA ARTA,India,+91 81690 92323,https://primaart.in/,,,,Lead,Available
Exporter,ID Clove,MULTI ORGANIC INTERNATIONAL,India,+91 22 4235 4000,https://multiorganics.com/,,,,Lead,Not Available
Exporter,ID Clove,MAHIRA TRADE INTERNATIONAL,India,+91 99991 01038,https://mahirainternational.com/,mahirainternational10@gmail.com,info@dsngrid.com,,Lead,Available
Exporter,ID Clove,MAHALAYA AGRI CORP,Indonesia,+62 31 99025297,https://mahalayaagri.com/,,,,Lead,Not Available
Exporter,ID Clove,PT ADHI BANGUN GEMILANG,Indonesia,+62 561 8100406,https://linktr.ee/Globaladhigemilang,,,,Lead,Not Available
Exporter,ID Clove,CV KAHAKA INTERNATIONAL,Indonesia,+62 638 02064,https://kahakainternational.com/,,,,Lead,Not Available
Exporter,ID Clove,JAFFARINDO INTERNASIONAL INDONESIA,Indonesia,+62 21 25556628,https://jaffarindointernational.com/,info@jaffarindointernational.com,anwar.wazir@aatrios.com,,Lead,Not Available
Exporter,ID Clove,EAST STAR TRADING,India,+91 74099 55999,https://hospimart.com/,info@hospimart.com,,,Lead,Available
Exporter,ID Clove,CV SURYA MAS,Indonesia,+62 852-4268-6876,https://cvsuryamas.com/,exportimport@cvsuryamas.com,,,Lead,Not Available
Exporter,ID Clove,CITRA MANDIRI,Indonesia,+62 21 21242167,https://citramandiri.id/,order@citramandiri.id,,,Lead,Not Available
Exporter,ID Clove,CV BINTANG ANDARA PERKASA,Indonesia,,https://bintang-perkasa.co.id/,admin@bintang-perkasa.co.id,,,Lead,
Exporter,ID Clove,PT APLIKASI PENUNJANG EKONOMI NASIONAL,Indonesia,+62 21 27807739,https://aspenku.com/,,,,Lead,Not Available
Exporter,ID Clove,AURY MAKMUR,Indonesia,+62 816-5407-701,http://xporia.co/,addons4prestashop@gmail.com,demo@demo.com,,Lead,Available
Exporter,ID Clove,TRUE SPICES INDONESIA,Indonesia,+62 31 99623538,http://www.truspices.com/,info@truspices.com,,,Lead,Not Available
Exporter,ID Clove,UD SINAR SURYA,Indonesia,+62 813-3731-9788,http://www.tokosinarsurya.id/,,,,Lead,Available
Exporter,ID Clove,SWARNA AGRO NUSA,Indonesia,+62 822-2388-8874,http://www.swarnaagro.co.id/,,,,Lead,Available
Exporter,ID Clove,PT SUTRACO NUSANTARA MEGAH,Indonesia,+62 31 99009059,http://www.sutraco.com/,,,,Lead,Not Available
Exporter,ID Clove,PT SUPA SURYA NIAGA,Indonesia,+62 31 8014648,http://www.supasurya.com/,info@supasurya.com,,,Lead,Not Available
Exporter,ID Clove,UD STAR LABORATORIES,Indonesia,+62 816-525-328,http://www.star-laboratories.com/,marketing@star-laboratories.com,,,Lead,Not Available
Exporter,ID Clove,CV SPICE SOLUTION INDONESIA,Indonesia,+62 812-7259-1199,http://www.spicesolution-indonesia.com/,info@spicesolution-indonesia.com,,,Lead,Available
Exporter,ID Clove,AGRI MAS RESOURCES,Indonesia,+62 21 50338899,http://www.smart-tbk.com,,,,Lead,Not Available
