Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Exporter,ID Cashew,CV UNIVERSAL VINDO COCO,Indonesia,+62 895-3981-14441,https://www.vindococo.com/,,,,Lead,Available
Exporter,ID Cashew,PT SURYA TERBIT KAKAO INTERNASIONAL,Indonesia,+62 812-1734-577,https://www.stkakao.com/,info@stkakao.com,stkikakao@gmail.com,,Lead,Available
Exporter,ID Cashew,KIRANA GLOBAL SAMUDERA,Indonesia,+62 21 65311389,https://www.samudera.id/,,,,Lead,Not Available
Exporter,ID Cashew,CAHAYA TIMUR INDONESIA,Indonesia,,https://www.ptcahayatimur.com/,,,,Lead,
Exporter,ID Cashew,PT YUNA AMAN NIAGA,Indonesia,+62 21 56958891,https://www.primergrp.com/territory/indonesia,careers@primergrp.com,corporatesales.ph@primergrp.com,,Lead,Not Available
Exporter,ID Cashew,PT PAN GLOBAL RESOURCES,Canada,+1 778-372-7101,https://www.panglobalresources.com/,investors@panglobalresources.com,,,Lead,Not Available
Exporter,ID Cashew,KASIH KARUNIA ABADI,Indonesia,,https://www.karuniakasihabadi.com/,kka@indo.net.id,,,Lead,
Exporter,ID Cashew,LAM HONG,Poland,+48 12 417 37 13,https://www.barlamhong.pl/,844eecb5a0da4da99b3918516f5a379d@app.getsentry.com,,,Lead,Not Available
Exporter,ID Cashew,PT WORLDBRIDGE INDO JAYA,Indonesia,+62 811-3508-475,https://worldbridgeindojaya.com/,info@worldbridgeindojaya.com,,,Lead,Available
Exporter,ID Cashew,ROMORA TRANSINDO,United States,+1 909-627-2599,https://transindousa.com/,,,,Lead,Not Available
Exporter,ID Cashew,CV NAVIL NATURAL,Indonesia,,https://navilnatural.com/,info@navilnatural.com,sales@navilnatural.com,,Lead,
Exporter,ID Cashew,PT MITRA AGRO GLOBAL,Indonesia,,https://mitraagroglobal.com/,marketing@mitraagoglobal.com,,,Lead,
Exporter,ID Cashew,PT SINGAPUTRA AGRO COMMODITIES,Indonesia,+62 812-6036-8127,https://indoagrico.com/,admin@indoagrico.com,agropalm@yahoo.com,,Lead,Available
Exporter,ID Cashew,PT GLOBAL INDO KUSUMA,Indonesia,,https://iglobe.id/,,,,Lead,
Exporter,ID Cashew,CV GREEN STAR,United States,+1 619-489-9020,https://greenstarlabs.net/,nowinfo@greenstarlabs.net,info@greenstarlabs.net,,Lead,Not Available
Exporter,ID Cashew,PT DEWI SEMESTA DIRGANTARA,Indonesia,+62 812-8651-6293,https://bit.ly/3FL5Dd6,me@jonathanmacdonald.com,,,Lead,Available
Exporter,ID Cashew,PT TAVISHA MULTIRASA NUSANTARA,Indonesia,,http://yoshinoya.co.id/,,,,Lead,
Exporter,ID Cashew,TOTAL HARVEST CEMERLANG,Indonesia,+62 21 8251202,http://www.totalharvest.co.id/,enquiry@totalharvest.co.id,,,Lead,Not Available
Exporter,ID Cashew,PT SUTRACO NUSANTARA MEGAH,Indonesia,+62 31 99009059,http://www.sutraco.com/,,,,Lead,Not Available
Exporter,ID Cashew,SUPA SURYA NIAGA,Indonesia,+62 31 8014648,http://www.supasurya.com/,info@supasurya.com,,,Lead,Not Available
Exporter,ID Cashew,PT SAMUDERA TANGGUH BERKAH BERSAMA,Indonesia,+62 822-1018-7013,http://www.samuderatangguhabadi.com/,marketing@samuderatangguhabadi.com,,,Lead,Available
Exporter,ID Cashew,PT CHANDRA ADI SENTOSA,Indonesia,+62 21 5665352,http://www.ptkas.com/,it@ptkas.com,,,Lead,Not Available
Exporter,ID Cashew,PHOENIX INTERNATIONAL,United States,,http://www.phoenixintl.com/,,,,Lead,
Exporter,ID Cashew,MULTI TRADING SUPLAYER,Nepal,+977 981-8157859,http://www.multitradingnepal.com/,info@multitradingnepal.com,,,Lead,Available
Exporter,ID Cashew,PT MITRA PETANI INDONESIA,Indonesia,+62 811-104-181,http://www.mitrapetaniindonesia.com/,mitrapetani.indo@gmail.com,mpi@mitrapetaniindonesia.com,,Lead,Not Available
Exporter,ID Cashew,PT LOGIGATE GLOBAL INDONESIA,Indonesia,+62 812-9190-1700,http://www.logigateglobal.com/,info@logigateglobal.com,indonesia@logigateglobal.com,,Lead,Available
Exporter,ID Cashew,KURNIA FAJAR SEJAHTERA,Indonesia,+62 21 35761618,http://www.kfb.co.id/,,,,Lead,Not Available
Exporter,ID Cashew,JAVA METE INDONESIA,Indonesia,,http://www.javameteindonesia.com/,ptjavameteindonesia@gmail.com,,,Lead,
Exporter,ID Cashew,LAUTAN INTI ABADI,Indonesia,+62 343 655999,http://www.intanseafood.com/,info@intanseafood.com,,,Lead,Not Available
Exporter,ID Cashew,GEMILANG NUSANTARA,Indonesia,+62 21 4357475,http://www.gemilangnusantara.co.id/,marketing@gemilangnusantara.co.id,cs@gemilangnusantara.co.id,,Lead,Not Available
Exporter,ID Cashew,COMEXTRA MAJORA,Indonesia,+62 411 510051,http://www.comextra.com/,comextra@comextra.com,,,Lead,Not Available
Exporter,ID Cashew,PT BUMI TANI HARMONI,Indonesia,+62 21 75900023,http://www.bhi.co.id/,bumiharmoni@bhi.co.id,info@bumiharmoni.com,,Lead,Not Available
Exporter,ID Cashew,ARTISAN VII,Indonesia,+62 21 29631686,http://www.artisanvii.com/,sales@artisanvii.com,artisanviifurniture@gmail.com,,Lead,Not Available
Exporter,ID Cashew,ASIA AGRO INTERNASIONAL,India,+91 92545 00008,http://www.agroseedgrader.com/,agroasianindustries@gmail.com,agroasian@hotmail.com,,Lead,Available
Exporter,ID Cashew,PT SURYA INDO SINGA,Indonesia,+62 811-2226-588,http://suryaindosinga.co/,,,,Lead,Available
Exporter,ID Cashew,BLOOM AGRO,Indonesia,+62 811-126-889,http://sunria.com/,,,,Lead,Not Available
Exporter,ID Cashew,CV SINAR AGRI JAYA,Indonesia,+62 817-196-988,http://sjag.co.id/,,,,Lead,Not Available
Exporter,ID Cashew,CV MAHA KARYA TRADING,Indonesia,+62 233 511390,http://rattanmahakarya.com/,,,,Lead,Not Available
Exporter,ID Cashew,RAJDULAR BROTHERS,Indonesia,+62 822-6897-0438,http://rajdularbrothers.com/,,,,Lead,Available
Exporter,ID Cashew,NIMRA INTERNATIONAL,Indonesia,+62 31 7497410,http://nimrainternational.com/,nimra0004@gmail.com,,,Lead,Not Available
Exporter,ID Cashew,PT TRITON NUSANTARA TANGGUH,Indonesia,+62 21 21387185,http://misterexportir.com/,,,,Lead,Not Available
Exporter,ID Cashew,PT TERRA LEGNA INTERNATIONAL,United States,+1 970-481-6952,http://lignaterra.com/,,,,Lead,Available
Exporter,ID Cashew,CV LAUTAN BERKAH,Indonesia,+62 24 6926910,http://lautanberkah.com/,shanti@cvlb.co.id,,,Lead,Not Available
Exporter,ID Cashew,CHAYA HANTARAN NUSANTARA,Indonesia,+62 21 42882727,http://hantaran.co.id/,info@hantaran.co.id,admin@hantaran.co.id,,Lead,Not Available
Exporter,ID Cashew,PT GLOBAL VISION IMPEX,Indonesia,+62 21 87953730,http://gvi.co.id/,info@gvi.co.id,,,Lead,Not Available
Exporter,ID Cashew,GENERAL ENGGINEER,India,+91 94141 73000,http://generalindia.in/,,,,Lead,Not Available
Exporter,ID Cashew,PERMATA BERKAH,Indonesia,+62 896-0300-6371,http://berkahpermatalogistik.com/,,,,Lead,Not Available
Exporter,ID Cashew,PT UPAYA EXPORT,Indonesia,+62 21 38820025,http://ayawapersadaindonesia.co.id/,info@ayawapersadaindonesia.co.id,import.ayawa@gmail.com,,Lead,Not Available
Exporter,ID Cashew,CV AR SAKHA DWIPA,Indonesia,+62 857-2714-7127,http://arsakha.co.id/,,,,Lead,Available
Exporter,ID Cashew,AGRO USAHA TAMA,Indonesia,+62 411 553594,http://agrousahatama.com/,,,,Lead,Not Available
Exporter,ID Cashew,CV AGRO MEGA,Indonesia,+62 31 3890233,http://agromegacv.com/,agromegacv@gmail.com,,,Lead,Not Available
Exporter,ID Cashew,DUA BERSAUDARA ABADI,,,,,,,Lead,
Exporter,ID Cashew,LINTAS DUA SAMUDERA,Indonesia,,,,,,Lead,
Exporter,ID Cashew,PT ESA ABADI PRIMA,Indonesia,,,,,,Lead,
Exporter,ID Cashew,RIKSA GLOBAL BUSINESS,Indonesia,,,,,,Lead,
Exporter,ID Cashew,CV DAKSA WIRATAMA SAMUDRA,,,,,,,Lead,
Exporter,ID Cashew,ASIAN AGRO COMMODITIES,Indonesia,,,,,,Lead,
Exporter,ID Cashew,MAXIM AGRO INDOVIET,,,,,,,Lead,
Exporter,ID Cashew,CV GANESHA MULTI LINTAS,,,,,,,Lead,
Exporter,ID Cashew,CV SUMBA SUBUR,Indonesia,,,,,,Lead,
Exporter,ID Cashew,PT SRI ZENITH INTERNATIONAL,,,,,,,Lead,
Exporter,ID Cashew,PT LIWU MOKESA BARAKATI,,,,,,,Lead,
Exporter,ID Cashew,CV EMRAN ABADI,,,,,,,Lead,
Exporter,ID Cashew,MEGA QUEENIE,,,,,,,Lead,
Exporter,ID Cashew,CV TRI GUNA JAYA,Indonesia,,,,,,Lead,
Exporter,ID Cashew,PT AJI SAETAGUNA GEMILANG,,,,,,,Lead,
Exporter,ID Cashew,YUNA AMAN NIAGA,,,,,,,Lead,
Exporter,ID Cashew,PT VJ J INTERNASIONAL,Indonesia,,,,,,Lead,
Exporter,ID Cashew,BUMI TANI HARMONI,Indonesia,,,,,,Lead,
Exporter,ID Cashew,CV GLOBAL INDO AGRO,Indonesia,,,,,,Lead,
Exporter,ID Cashew,PT USAHA KARYA MAKMUR,Indonesia,,,,,,Lead,
Exporter,ID Cashew,CV SAHABAT TRADING,Indonesia,,,,,,Lead,
Exporter,ID Cashew,ADHIKARI JAYA PRAKASA,Indonesia,,,,,,Lead,
Exporter,ID Cashew,HELENA BUMI ARTA,Indonesia,,,,,,Lead,
