Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Importer,ID Damar,ZM CORPORATION,Pakistan,+92 321 8700462,https://www.zm.com.pk/,,,,Lead,Available
Importer,ID Damar,WORLD TEC TRADING,Bangladesh,+880 1618-498939,https://www.worldtechengineeringbd.com/,worldtechbd11@gmail.com,worldtecheng2022@gmail.com.com,,Lead,Available
Importer,ID Damar,CV UNIVERSAL VINDO COCO,Indonesia,+62 895-3981-14441,https://www.vindococo.com/,,,,Lead,Available
Importer,ID Damar,ERNESTO VENTOS S A,Spain,+34 934 70 62 10,https://www.ventos.com/,info@ventos.com,,,Lead,Not Available
Importer,ID Damar,UPS SINGAPORE S LTD,Singapore,+65 6302 8000,https://www.ups.com/sg/en/Home.page,,,,Lead,Not Available
Importer,ID Damar,UNITED OVERSEAS BANK MALAYSIA BHD,Malaysia,+60 3-2691 3110,https://www.uob.com.my/default/uob-branch-locator.page,,,,Lead,Not Available
Importer,ID Damar,UNION CHEMICALS CORPORATION,Taiwan,+886 2 2595 4321,https://www.unionchemical.com.tw/,administrator@unionchemical.com.tw,,,Lead,Not Available
Importer,ID Damar,UNIFORM SYNTHETICS,India,+91 83060 01863,https://www.uniformsynthetics.com/,,,,Lead,Not Available
Importer,ID Damar,TNT UAE L L C,United Arab Emirates,+971 800 4333,https://www.tnt.com/express/en_ae/site/support/contact.html,id.customer.care@tnt.com,,,Lead,Not Available
Importer,ID Damar,BEE S WRAP MAIN,Indonesia,+62 812-3611-6466,https://www.theshadyshackbali.com/,theshadyshack123@gmail.com,,,Lead,Available
Importer,ID Damar,TER CHEMICALS CO GMBH,Germany,+49 6145 95667100,https://www.terchemicals.com/,tincee@terchemicals.com,,,Lead,Not Available
Importer,ID Damar,TECH HIFI,Malaysia,+60 18-369 8826,https://www.techx.com.my/,,,,Lead,Available
Importer,ID Damar,TAN DONG DUONG CO LTD,Vietnam,+84 251 3933 204,https://www.tdd.vn/,info@tenmien.vn,info@tdd.vn,,Lead,Not Available
Importer,ID Damar,TO THE ORDER TRUST BANK LTD,Bangladesh,+880 2-8712075,https://www.tblbd.com/,cards@tblbd.com,info@tblbd.com,,Lead,Not Available
Importer,ID Damar,SUVASTU ASSOCIATES,Bangladesh,+880 1844-500400,https://www.suvastuproperties.com/,marketing@suvastu.com,,,Lead,Available
Importer,ID Damar,SURRATI PERFUMES CO LTD,India,+91 79772 34027,https://www.surratiperfume.com/en,,,,Lead,Available
Importer,ID Damar,STARBORN CREATIONS,United States,+1 928-204-2400,https://www.starborn.com/,,,,Lead,Not Available
