Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Importer,ID Cashew,WINIMAX INDUSTRIAL CO LTD,United States,+1 408-894-9000,https://www.winmaxcorp.com/,contactus@winmaxcorp.com,,,Lead,Not Available
Importer,ID Cashew,BLUE OASIS M SDN BHD,Malaysia,+60 3-7804 9626,https://www.whynotorganic.com.my/,order@whynotorganic.com.my,,,Lead,Not Available
Importer,ID Cashew,KASUVANDI ENTERPRISES,United States,+1 863-299-5527,https://www.walmart.com/store/968-winter-haven-fl/,,,,Lead,Not Available
Importer,ID Cashew,VOICEVALE GMBH,Germany,+49 40 6965260,https://www.voicevale.com/de/,info@voicevale.com,natalia@voicevale.com.au,,Lead,Not Available
Importer,ID Cashew,VALENCY AGRO PVT LTD,India,,https://www.valencyagro.com/,info@nikhilcashew.com,info@valencyagro.in,,Lead,
Importer,ID Cashew,UPS SINGAPORE S LTD,Singapore,+65 6302 8000,https://www.ups.com/sg/en/Home.page,,,,Lead,Not Available
Importer,ID Cashew,UNJHA PSYLLIUM,India,+91 95378 56858,https://www.unjhapsyllium.in/,,,,Lead,Available
Importer,ID Cashew,SUN CHASEW INDUSTRIES,United States,+1 843-423-3424,https://www.tractorsupply.com/tsc/store_Marion-SC-29571_1865?utm_source=localgmblisting&utm_medium=organic,,,,Lead,Not Available
Importer,ID Cashew,TNT UAE L L C,United Arab Emirates,+971 800 4333,https://www.tnt.com/express/en_ae/site/support/contact.html,id.customer.care@tnt.com,,,Lead,Not Available
Importer,ID Cashew,TECK SANG PTE LTD,Singapore,+65 6533 1133,https://www.tecksangonline.com/index.php/,general@tecksang.com,,,Lead,Not Available
Importer,ID Cashew,SATRA RETAIL PRIVATE LIMITED,India,,https://www.satragroup.in/,business@satragroup.in,,,Lead,
Importer,ID Cashew,M S RR EXPORTS IMPORTS,India,+91 94291 95394,https://www.rrexporters.com/,,,,Lead,Available
Importer,ID Cashew,RATH CO TRADING PTY LTD,Australia,+61 3 9704 8588,https://www.rathco.com.au/,,,,Lead,Not Available
Importer,ID Cashew,OKAWA INDUSTRIAL CO LTD,Thailand,+66 38 950 199,https://www.okawaseira.co.jp/en/thai.html,user@sample.co.jp,,,Lead,Not Available
Importer,ID Cashew,NANDANAM CASHEWS,India,+91 44 2445 6165,https://www.nutsnspices.in/,info@nutsnspices.in,donate@opencart.com,,Lead,Not Available
Importer,ID Cashew,NUTREE CO LTD,United Kingdom,+44 1772 651696,https://www.nutreelife.co.uk/,,,,Lead,Not Available
Importer,ID Cashew,M S SHALEO IMPEX,India,+91 98370 26403,https://www.msimpex.com/,,,,Lead,Available
Importer,ID Cashew,MOI INTERNATIONAL SINGAPORE PTE LTD,Singapore,,https://www.moigroup.com/,moi-international@mewahgroup.com,,,Lead,
Importer,ID Cashew,M MADHAVARAYA PRABHU,India,+91 80 4581 6305,https://www.mmpcashew.in/,,,,Lead,Not Available
Importer,ID Cashew,CLASSIC CASHEWS,United States,,https://www.mainsqueezejuiceco.com/products/bowls/,,,,Lead,
Importer,ID Cashew,MAHALASA EXPORTS,India,+91 820 254 2285,https://www.mahalasaexports.com/,,,,Lead,Not Available
Importer,ID Cashew,LIAN HWA FOODS CORPORATION,United States,+1 510-441-8889,https://www.lianhwausa.com/,,,,Lead,Not Available
Importer,ID Cashew,LION OVERSEAS PTE LTD,Singapore,,https://www.leonoverseas.com/,general@leonoverseas.com,,,Lead,
Importer,ID Cashew,KUMHO FD CORPORATION,United States,+1 800-445-8646,https://www.kumhotire.com/us/index.do,,,,Lead,Not Available
Importer,ID Cashew,KOTAK MAHINDRA BANK LTD,India,+91 1860 266 2666,https://www.kotak.com/en/home.html,,,,Lead,Not Available
Importer,ID Cashew,KEIMLING NATURKHOST GMBH,Germany,+49 4161 5116102,https://www.keimling.de/,naturkost@keimling.de,,,Lead,Not Available
Importer,ID Cashew,VICTORY CASHEWS,United States,+1 281-847-0996,https://www.joevsmartshop.com/locations/victory?utm_source=google&utm_medium=organic&utm_campaign=gmb_stores,,,,Lead,Not Available
Importer,ID Cashew,J F BRAUN AND SONS INC,United States,+1 908-393-7400,https://www.jfbny.com/,info@jfbny.com,,,Lead,Not Available
Importer,ID Cashew,JARH MALDIVES PVT LTD O B JA MANAFARU,Maldives,+960 796-0143,https://www.jaresortshotels.com/maldives/ja-manafaru,info.manafaru@jaresorts.com,reservations.manafaru@jaresorts.com,,Lead,Available
