Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Importer,ID 1511,JEIL INDUSTRIAL CO LTD,South Korea,+82 31-987-2434,https://제일기계.kr/,jeilpumpro@naver.com,smcpro@naver.com,,Lead,Not Available
Importer,ID 1511,SUNSET ENTERPRISE,Indonesia,+62 815-1588-8450,https://zehavabalienterprise.com/,contact@zehavabalienterprise.com,zehavabalienterprise@gmail.com,,Lead,Available
Importer,ID 1511,Y AND Y GROUP JOINT STOCK COMPANY,Vietnam,+84 28 3781 7588,https://yygroup.com.vn/,admin3@yygroup.com.vn,,,Lead,Not Available
Importer,ID 1511,THE SONERI BANK LIMITED AND APPLICANT A AND S EDIBLE OIL MILLS SMCPRIVATE LIMITED,Pakistan,+92 62 2280601,https://youtube.com/@dailypakistanlife,,,,Lead,Not Available
Importer,ID 1511,ZENAMAR MARITIME AGENCIES LTD,Türkiye,+90 324 239 27 57,https://www.zenamar.com/,zenamar@zenamar.com,,,Lead,Not Available
Importer,ID 1511,A A TRADING CO LTD,India,,https://www.youtube.com/channel/UC08iZ_JYlQyyqPm6od7H8lQ,,,,Lead,
Importer,ID 1511,WOOLMART WHOLESALE,India,+91 98203 03329,https://www.woolmart.in/,,,,Lead,Available
Importer,ID 1511,WILMAR OILS AND FATS STOCKTON LLC,United States,+1 209-507-7500,https://www.wilmar-international.com/consumer-pack/products/oils-fats,info@wilmar.com.sg,info-rice@cn.wilmar-intl.com,,Lead,Not Available
Importer,ID 1511,WILLOWTON OIL CAKE MILLS,South Africa,+27 33 355 7800,https://www.willowtongroup.com/about-us/the-history-of-willowton/,,,,Lead,Not Available
Importer,ID 1511,CAPE OIL MARGARINE PTY LTD,South Africa,+27 21 507 5511,https://www.willowtongroup.com/,,,,Lead,Not Available
Importer,ID 1511,WFP TANZANIA WORLD FOOD PROGRAMME,Tanzania,+255 22 219 7300,https://www.wfp.org/countries/tanzania,wfp.daressalaam@wfp.org,,,Lead,Not Available
Importer,ID 1511,WORLD FOOD PROGRAMME SOUTH SUDAN,South Sudan,,https://www.wfp.org/countries/south-sudan,wfp.southsudan@wfp.org,,,Lead,
Importer,ID 1511,COFCO INTERNATIONAL SHANGHAI COMPANY LTD R2002 DBS,China,,https://www.wellingtoncollege.cn/shanghai/chinese-landing-page/,info.shanghai@wellingtoncollege.cn,,,Lead,
Importer,ID 1511,WEBCOR SA,Switzerland,+41 22 906 76 46,https://www.webcorgroup.com/,info@webcorgroup.com,,,Lead,Not Available
Importer,ID 1511,VOPAK BRASIL S A TERMINAL ALEMOA HEAD OFFICE,Brazil,+55 13 3295-1000,https://www.vopak.com/,global.communication@vopak.com,,,Lead,Not Available
Importer,ID 1511,VITERRA CHINA CO LTD,Singapore,+65 6313 7401,https://www.viterra.com/,,,,Lead,Not Available
Importer,ID 1511,VENTURA FOODS LLC,United States,+1 717-263-6900,https://www.venturafoods.com/,,,,Lead,Not Available
Importer,ID 1511,ETS VARSUN IMPEX,India,+91 87803 69408,https://www.varsaniimpex.com/,,,,Lead,Available
Importer,ID 1511,ANITA OIL AND FATS PRIVATE LIMITED VANYA EDIBLE OI,India,+91 120 433 8931,https://www.vanyaedibleoil.com/,durganitin1984@gmail.com,accounts@vanyaedibleoil.com,,Lead,Not Available
Importer,ID 1511,VALARUM S DE R L DE C V,Mexico,+52 81 8311 2927,https://www.valcommty.com.mx/,valcom07@prodigy.net.mx,,,Lead,Not Available
Importer,ID 1511,USAHA TEGAR SDN BHD,Malaysia,+60 3-6177 7998,https://www.usahategas.my/,help@brandexponents.com,office@usahategas.my,,Lead,Not Available
Importer,ID 1511,ADNAN ABDOULWASSE GENERAL,Indonesia,+62 361 701954,https://www.unud.ac.id/,info@unud.ac.id,,,Lead,Not Available
Importer,ID 1511,TRADE UNION S A,Australia,+61 8 8352 9300,https://www.unitedworkers.org.au/,,,,Lead,Not Available
Importer,ID 1511,UNITED FOODS COMPANY PSC,United Arab Emirates,+971 4 506 3800,https://www.unitedfoods.ae/,info@unitedfoods.ae,,,Lead,Not Available
