Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Exporter,ID Anchovy,PT SEKAR BUMI TBK,Indonesia,+62 21 51401122,https://www.sekarbumi.com/,,,,Lead,Not Available
Exporter,ID Anchovy,MINA JAYA WYSIA,Indonesia,+62 21 29216888,https://www.mjw.co.id/,ops.sby@mjw.co.id,info@mjw.co.id,,Lead,Not Available
Exporter,ID Anchovy,PT MARITIM GLOBAL BERKAT,Indonesia,+62 21 22636338,https://www.berkatmaritimindonesia.com/,info@berkatmaritimindonesia.com,,,Lead,Not Available
Exporter,ID Anchovy,KARYA MINA PUTRA,Indonesia,+62 295 692202,https://ptkaryaminaputra.com/,karyamina@yahoo.com,helmi@karyamina.com,,Lead,Not Available
Exporter,ID Anchovy,PT MARINECIPTA AGUNG,Indonesia,+62 343 656064,https://marineciptaagung.com/,,,,Lead,Not Available
Exporter,ID Anchovy,AURY MAKMUR,Indonesia,+62 816-5407-701,http://xporia.co/,addons4prestashop@gmail.com,demo@demo.com,,Lead,Available
Exporter,ID Anchovy,PT SEKAR LAUT TBK,Indonesia,+62 31 8921036,http://www.sekarlaut.com/,info@sekarlaut.com,,,Lead,Not Available
Exporter,ID Anchovy,DAPUR PENYET GRUP,Malaysia,+60 3-9105 7901,http://www.penyetpenyet.com/,,,,Lead,Not Available
Exporter,ID Anchovy,MARIZARASA SARIMURNI,Indonesia,+62 21 58908208,http://www.marizafoods.com/,,,,Lead,Not Available
Exporter,ID Anchovy,PT INSAN CITRAPRIMA SEJAHTERA,Indonesia,+62 356 712782,http://www.ics-food.com/,care@ics-food.com,,,Lead,Not Available
Exporter,ID Anchovy,CV SENTOSA ENTERPRISE,Indonesia,+62 231 510318,http://www.deliamor.com/,sentosaenterprise@gmail.com,info@deliamor.com,,Lead,Not Available
Exporter,ID Anchovy,CV ANUGERAH NIAN GEMILANG,Indonesia,+62 878-5111-5052,http://www.angsub.com/,marketing@angsub.com,,,Lead,Available
Exporter,ID Anchovy,ALAM LAUT,Malaysia,+60 6-388 2200,http://www.alam.edu.my/,modularbooking@alam.edu.my,exam.cert@alam.edu,,Lead,Not Available
Exporter,ID Anchovy,SUMBER MINA BAHARI,Indonesia,+62 816-651-687,http://ptsmb.co.id/,hai@ptsmb.co.id,,,Lead,Not Available
Exporter,ID Anchovy,PT ANUGRAH LAUT INDONESIA,Indonesia,+62 859-5147-0475,http://aliseafood.co.id/,,,,Lead,Available
Exporter,ID Anchovy,URCHINDIZE INDONESIA,Indonesia,+62 291 4296527,,,,,Lead,Not Available
Exporter,ID Anchovy,PT DAPUR PENYET GRUP,,,,,,,Lead,
Exporter,ID Anchovy,SENTOSA TRADING,Malaysia,+60 10-932 1272,,,,,Lead,Available
Exporter,ID Anchovy,PT MITRA GLOBAL INDOJAYA,Indonesia,+62 21 53149755,,,,,Lead,Not Available
Exporter,ID Anchovy,CV ALAM LAUT,Indonesia,+62 21 55721459,,,,,Lead,Not Available
Exporter,ID Anchovy,LAUTAN MUTIARA JAYA,Indonesia,+62 21 6630035,,,,,Lead,Not Available
Exporter,ID Anchovy,PT GERBANG BAHARI SEJAHTERA,Indonesia,+62 21 6905302,,,,,Lead,Not Available
Exporter,ID Anchovy,FU SHEN SEA FOOD INDONESIA,Indonesia,+62 24 6581027,,,,,Lead,Not Available
Exporter,ID Anchovy,UD GARINDO,Indonesia,+62 851-7110-8099,,,,,Lead,Available
Exporter,ID Anchovy,CV BAHAGIA SUMBER SUKSES,Indonesia,+62 31 3522400,,,,,Lead,Not Available
Exporter,ID Anchovy,MARINAL INDOPRIMA,Indonesia,+62 31 8499893,,,,,Lead,Not Available
Exporter,ID Anchovy,PT ERA BERSAMA INDONESIA,Indonesia,+62 334 8797985,,,,,Lead,Not Available
Exporter,ID Anchovy,JAVA PEPPERS INDUSTRIES,Indonesia,+62 341 801558,,,,,Lead,Not Available
Exporter,ID Anchovy,FISHINDO ISMA RAYA,Indonesia,+62 356 411748,,,,,Lead,Not Available
Exporter,ID Anchovy,SUMBER CIPTA ALAM,Indonesia,+62 812-1950-8878,,,,,Lead,Available
Exporter,ID Anchovy,NAGATA TUNA,Indonesia,+62 823-6463-6000,,,,,Lead,Available
Exporter,ID Anchovy,DHARMINDO SAMUDRA ABADI,Indonesia,,,,,,Lead,
