Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability
Exporter, ID Betel Nut,CV MUTIARA KARYA,Indonesia,,https://www.tokopedia.com/mutiarakaryasupe?utm_medium=Share&utm_campaign=Shop%20Share&utm_source=Desktop,,,,Lead,
Exporter, ID Betel Nut,PT AGRO FUTURE INDONESIA,Indonesia,+62 821-5429-6453,https://www.tokopedia.com/archive-naan-1-1670199620?source=universe&st=product,,,,Lead,Available
Exporter, ID Betel Nut,SURYA RAJ,India,,https://www.suryarajsingh.com/,,,,Lead,
Exporter, ID Betel Nut,SURYA INTI PRIMAKARYA,Indonesia,+62 761 40062,https://www.sip-exim.co.id/,van.ricardo@sip-exim.co.id,markom@sip-exim.co.id,,Lead,Not Available
Exporter, ID Betel Nut,CV SAKHA INSAN PASADA,Indonesia,+62 21 82480703,https://www.sakha.co.id/shop/,cs@sakhadaya.com,,,Lead,Not Available
Exporter, ID Betel Nut,PUNDI ARTA ABADI,Indonesia,+62 21 50856021,https://www.pundiarthamahkota.com/,,,,Lead,Not Available
Exporter, ID Betel Nut,LUSAIL MULIA MAS,Qatar,+974 4497 7770,https://www.lusail.com/attraction2/lusail-marina-promenade/#,info@lusail.com,,,Lead,Not Available
Exporter, ID Betel Nut,KREASI EMAS GEMILANG,Indonesia,+62 21 54373132,https://www.kreasiemasgemilang.com/,,,,Lead,Not Available
Exporter, ID Betel Nut,GLOBAL GRID,India,,https://www.gcpoindia.com/,gcpoindia@gmail.com,,,Lead,
Exporter, ID Betel Nut,PT SOP BROS INTERNATIONAL,India,+91 99888 80956,https://www.brosisint.com/,qatar@stebilex.com,brosis@brosisint.com,,Lead,Available
Exporter, ID Betel Nut,PT BINTANG PINANG CEMERLANG,Indonesia,+62 811-7418-899,https://www.bintangpinangcemerlang.com/,,,,Lead,Available
Exporter, ID Betel Nut,NUR SPICE EKSPOR,India,+91 98371 63150,https://utkarshfoodproducts.com/,,,,Lead,Available
Exporter, ID Betel Nut,TRANS INDOTAMA,Indonesia,+62 21 21480242,https://tatatransindotama.id/,,,,Lead,Not Available
Exporter, ID Betel Nut,CV RAYYAN SHAM ABADI,Indonesia,+62 812-9768-5553,https://sites.google.com/view/cv-global-rayyan-sejahtera/beranda,andiglobal48@gmail.com,,,Lead,Available
Exporter, ID Betel Nut,PT SALIMBADO JAYA INDONESIA,Indonesia,+62 812-1314-3540,https://salimbadogroup.com/,,,,Lead,Available
Exporter, ID Betel Nut,INDO MALABAR SAFE TRADING,Indonesia,+62 812-7399-9195,https://ptindomalabar.com/,director@ptindomalabar.com,,,Lead,Available
Exporter, ID Betel Nut,EXPO IMPOR EKSPOR,Indonesia,+62 21 50200671,https://ptexpoindo.com/,support@company.com,info@ptexpoindo.com,,Lead,Not Available
Exporter, ID Betel Nut,PT PINANG SUPER NUSANTARA,Indonesia,+62 852-7103-3358,https://pinang-psn.co.id/,info@pinang-psn.co.id,,,Lead,Available
Exporter, ID Betel Nut,CV NUCIFERA HIRO INDONESIA,Indonesia,+62 853-3530-0205,https://nuciferahiroindonesia.com/,nuciferahiro@gmail.com,info@nuciferahiroindonesia.com,,Lead,Available
Exporter, ID Betel Nut,PT ADHI BANGUN GEMILANG,Indonesia,+62 561 8100406,https://linktr.ee/Globaladhigemilang,,,,Lead,Not Available
Exporter, ID Betel Nut,PT GLOBAL INDO KUSUMA,Indonesia,,https://iglobe.id/,,,,Lead,
Exporter, ID Betel Nut,BINTANG TIMUR SERUMPUN,Indonesia,,https://bintangtimurserumpun.co.id/#,,,,Lead,
Exporter, ID Betel Nut,UD STAR LABORATORIES,Indonesia,+62 816-525-328,http://www.star-laboratories.com/,marketing@star-laboratories.com,,,Lead,Not Available
Exporter, ID Betel Nut,PT SPICE LINES INTERNATIONAL,Indonesia,+62 61 42088674,http://www.spicelinesinternational.com/,,,,Lead,Not Available
Exporter, ID Betel Nut,AGRI MAS RESOURCES,Indonesia,+62 21 50338899,http://www.smart-tbk.com,,,,Lead,Not Available
Exporter, ID Betel Nut,RUBY PRIVATINDO,Indonesia,+62 21 72788204,http://www.rubyndo.com,sales@rubyndo.com,,,Lead,Not Available
Exporter, ID Betel Nut,PT REZEKI MANDIRI GLOBAL,Indonesia,+62 896-5353-5803,http://www.rezekimandiri.com/,info@rezekimandiri.com,,,Lead,Available
Exporter, ID Betel Nut,RASDI CO,Indonesia,+62 751 4855134,http://www.rasdico.com/,info@rasdico.com,,,Lead,Not Available
Exporter, ID Betel Nut,PT CHANDRA ADI SENTOSA,Indonesia,+62 21 5665352,http://www.ptkas.com/,it@ptkas.com,,,Lead,Not Available
Exporter, ID Betel Nut,PT PALMA TUNAS INDONESIA,Indonesia,+62 232 615176,http://www.palmaindonesia.com/,info@palmaindonesia.com,info.palmaindo@gmail.com,,Lead,Not Available
Exporter, ID Betel Nut,MULTIGUNA TRANSPORTINDO LOGISTIK,Indonesia,+62 21 22850099,http://www.multiguna-ip.co.id/,support@multiguna-ip.co.id,,,Lead,Not Available
Exporter, ID Betel Nut,PT MATAHARI FOOD INGREDIENTS,Indonesia,+62 31 60039633,http://www.mataharifood.com/,info@mataharifood.com,,,Lead,Not Available
Exporter, ID Betel Nut,LAUTAN INTI ABADI,Indonesia,+62 343 655999,http://www.intanseafood.com/,info@intanseafood.com,,,Lead,Not Available
Exporter, ID Betel Nut,PT INDORAAJJE TRADING INTERNATIONAL,Indonesia,+62 811-9136-388,http://www.indoraajje.id/,info@indoraajje.id,,,Lead,Available
Exporter, ID Betel Nut,HAPALAM AGRICULTURAL INDONESIA,Indonesia,+62 852-3654-3936,http://www.hmagroindonesia.com/,sales@hmagroindonesia.com,,,Lead,Available
Exporter, ID Betel Nut,GRENCOFE PREMIUM INDONESIA,Indonesia,+62 885-0213-148,http://www.grencofe.com/,sales@grencofe.com,,,Lead,Not Available
Exporter, ID Betel Nut,EXPONESIA,Indonesia,+62 21 42889201,http://www.exponesia.com/,xponesia@rad.net.id,exponesia@exponesia.com,,Lead,Not Available
Exporter, ID Betel Nut,PURIDA TIGA GLOBAL,Indonesia,+62 812-5180-7215,http://www.btigaglobal.com/,arnold@btigaglobal.com,,,Lead,Available
Exporter, ID Betel Nut,PT AGROW HUB NATURE,Indonesia,+62 882-9384-8094,http://www.betelnutagrow.com/,contact@betelnutagrow.com,,,Lead,Available
Exporter, ID Betel Nut,BATANGHARI NUSANTARA INDONESIA,Indonesia,,http://www.batangharikab.go.id/,,,,Lead,
Exporter, ID Betel Nut,THEA UNIVERSAL TRADE,Indonesia,+62 813-7299-4681,http://theauniversal.com/,hello@atmenstudios.com,,,Lead,Available
Exporter, ID Betel Nut,PT SUBUR ANUGERAH INDONESIA,Indonesia,+62 852-1218-8855,http://suburanugerahindonesia.com/,,,,Lead,Available
Exporter, ID Betel Nut,RAJDULAR BROTHERS,Indonesia,+62 822-6897-0438,http://rajdularbrothers.com/,,,,Lead,Available
Exporter, ID Betel Nut,PT DARSHI LESTARI INTERNATIONAL,Indonesia,+62 21 29070314,http://ptdarshi.com/,,,,Lead,Not Available
Exporter, ID Betel Nut,PT TRITON NUSANTARA TANGGUH,Indonesia,+62 21 21387185,http://misterexportir.com/,,,,Lead,Not Available
Exporter, ID Betel Nut,PILAR INDONESIA,Indonesia,+62 21 84936222,http://linktr.ee/pilarindonesia,,,,Lead,Not Available
Exporter, ID Betel Nut,PT WORLD MARKET INDONESIA,Indonesia,+62 877-5677-7889,http://instagram.com/ptglobalindobangunan,,,,Lead,Available
Exporter, ID Betel Nut,ADHI BANGUN GEMILANG,Indonesia,+62 251 7521159,http://hiroto.co.id/,,,,Lead,Not Available
Exporter, ID Betel Nut,PT GLOBAL VISION IMPEX,Indonesia,+62 21 87953730,http://gvi.co.id/,info@gvi.co.id,,,Lead,Not Available
Exporter, ID Betel Nut,ELITE AGRO AND SPICES INTERNATIONAL,India,+91 95363 34440,http://eliteagrolife.in/,,,,Lead,Available
Exporter, ID Betel Nut,CHALMERS TRADE INTERNATIONAL,Indonesia,+62 812-8820-6748,http://chalmerstrade.com/,info@chalmerstrade.com,,,Lead,Available
Exporter, ID Betel Nut,BULAN BINTANG,Malaysia,+60 10-870 1806,http://bulanbintanghq.com/,,,,Lead,Available
Exporter, ID Betel Nut,PT ASNAFF INTERNATIONAL,Indonesia,+62 61 80030786,http://asnaff.com/,asnaffint@gmail.com,,,Lead,Not Available
Exporter, ID Betel Nut,CV SUS KELAPA INDO,Indonesia,,,,,,Lead,
Exporter, ID Betel Nut,CV FAJAR MULIA ABADI,Indonesia,,,,,,Lead,
Exporter, ID Betel Nut,CEMERLANG ABADI,Indonesia,,,,,,Lead,
Exporter, ID Betel Nut,PT SAUDAGAR ALAM NUSANTARA,,,,,,,Lead,
Exporter, ID Betel Nut,HARSONU INDONESIA,,,,,,,Lead,
Exporter, ID Betel Nut,HIDAYAH ZHAFRAN,Indonesia,,,,,,Lead,
Exporter, ID Betel Nut,MUTIARA PINANG,Malaysia,,,,,,Lead,
Exporter, ID Betel Nut,CV KALASAN NIRWANA,Indonesia,,,,,,Lead,
Exporter, ID Betel Nut,MITRA PINANG SEJATI,Indonesia,,,,,,Lead,
Exporter, ID Betel Nut,PT TRIO AGRO PERKASA,Indonesia,,,,,,Lead,
Exporter, ID Betel Nut,KALASAN NIRWANA,Indonesia,,,,,,Lead,
Exporter, ID Betel Nut,CV AFRA,Indonesia,,,,,,Lead,
Exporter, ID Betel Nut,BERKAH BAHARI MANDIRI,Indonesia,,,,,,Lead,
Exporter, ID Betel Nut,PINANG JAYA SUMATERA,Indonesia,,,,,,Lead,
Exporter, ID Betel Nut,CV NUR SPICE EXPORT,,,,,,,Lead,
Exporter, ID Betel Nut,HIDAYAH HAMZAH SUKSES ABADI,,,,,,,Lead,
